nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
Lāu-pē ê chí-mōe kiò-chò a-ko͘.,,父親的姐妹叫做姑母,A father’s sisters are called [a-ko͘].
ko͘-tiūⁿ,koo-tiūnn,姑父,
a-kū,a-kū,舅舅 | 舅父,
Lāu-bú ê hiaⁿ-tī kiò-chò a-kū.,,母親的兄弟叫做舅父,A mother’s brothers are called “[a-kū]”.
a-kīm,a-kīm,舅母,
A-kū ê thài-thài chiū-sī a-kīm.,,舅父的太太就是舅母,A-kū’s wife is a-kīm.
a-î,a-î,姨母,
Lāu-bú ê chí-mōe kiò-chò a-î.,,母親的姐妹叫做姨母,A mother’s sisters are called “[a-î]”.
î-tiūⁿ,î-tiūnn,姨父,
a-peh,a-peh,伯伯 | 伯父,
Lāu-pē ê a-hiaⁿ kiò-chò a-peh.,,父親的哥哥叫做伯父,A father’s older brother is called “[a-peh]”.
a-ḿ,a-ḿ,伯母,
A-peh ê thài-thài hō-chò a-ḿ.,,伯父的太太叫做伯母,A-peh’s wife is called “[a-ḿ]”.
a-chek,a-tsik,叔叔 | 叔父,
Lāu-pē ê sió-tī kiò-chò a-chek.,,父親的弟弟叫做叔父,A father’s little brother is called “[a-chek]”.
a-chím,a-tsím,嬸嬸 | 叔母,
A-chek ê thài-thài chiū-sī a-chím.,,叔父的太太叫做叔母,[A-chím] is a-chek’s wife.
a-hiaⁿ,a-hiann,哥哥,
a-só,a-só,嫂嫂,
A-hiaⁿ ê khan-chhiú kiò-chò a-só; sió-tī ê khan-chhiú kiò-chò tē-hū.,,哥哥的妻子叫做嫂嫂，弟弟的妻子叫做弟婦,A big brother’s wife is called “[a-só]”; a younger brother’s wife is called “[tē-hū]”.
a-chiu,a-tsiu,亞洲,Asia.
a-phiàn,a-phiàn,鴉片,Opium
āⁿ,ānn,餡,bean-jam
àⁿ lo̍h-khì,ànn lo̍h-khì,彎腰 | 俯下去,to stoop down
"Thô͘-kha ū ka-la̍uh chîⁿ, àⁿ-lo̍h-khì khioh--khí-lâi.",,地上有遺落的錢，俯下去拾起來,Some money has dropped on the floor. Stoop down and pick up.
ah | ah-á,ah | ah-á,鴨,a duck
ah-bú | ah-bó,ah-bú | ah-bó,母鴨,a duck
ah-kang,ah-kang,公鴨,a drake
ah-nn̄g,ah-nn̄g,鴨蛋,duck eggs
ah-bah,ah-bah,鴨肉,duck meat
ài,ài,要 | 愛 | 喜歡,to wish | desire | want | need | should | will | love | like | sign of future
chin-ài,tsin-ài,很喜歡,to like very much | to want very much
Góa chin ài o̍h Thian-chú-kàu ê tō-lí.,,我很喜歡學天主教的道理,I like very much to learn the Catholic doctrine.
chin-bô-ài,tsin-bô-ài,很不喜歡,very much not like (want) to | very much dislike
Góa chin bô ài kā lâng kà Eng-gí.,,我很不喜歡教別人英語,I very much dislike teaching people English.
khah-ài,khah-ài,比較喜歡 | 寧願,to prefer to
khah bô-ài,khah bô-ài,比較不喜歡,to prefer not to
"Góa khah ài chē bah-suh, khah bô ài chē hóe-chhia.",,我比較喜歡坐巴士，比較不喜歡坐火車,"I prefer to ride in buses, I prefer not to ride in trains."
lóng-ài,lóng-ài,都喜歡,to like entirely (all of)
"Tâi-oân ê liāu-lí, góa lóng-ài chia̍h.",,台灣的菜餚，我都喜歡吃,I like all kinds of Taiwanese dishes.
lóng bô-ài,lóng bô-ài,都不喜歡,not to like at all
Góa lóng bô ài lim chiú.,,我(都)不喜歡喝酒,I don’t like to drink wine at all.
bô sím-mih ài,bô sím-mih ài,不怎麼喜歡,not to be particularly fond of
Góa bô sím-mih ài lim khì-chúi.,,我不怎麽喜歡喝汽水,I am not particularly fond of soda pop.
ke̍k-ài,ke̍k-ài,最喜歡,to be extremely fond of
put-chí-ài,put-tsí-ài,很喜歡,to be exceedingly fond of
hui-siông ài,hui-siông ài,非常喜歡,to be unusually fond of
Hit ūi sîn-hū ke̍k-ài kóng chhiò.,,那位神父最喜歡講笑話,That priest is extremely fond of joking.
siōng-ài,siōng-ài,最喜歡,To like the most
"Lín saⁿ ūi sîn-hū, sím-mih lâng siōng-ài siû-chúi?",,你們三位神父，那一位最喜歡游泳？,"Of you three Fathers, who likes to swim the most?"
tē it ài,tē it ài,最喜歡,To be the most fond of
"Lín saⁿ ūi sîn-hū, sím-mih lâng siōng-ài siû-chúi?",,你們三位神父，那一位最喜歡游泳？,"Of you three Fathers, who likes to swim the most?"
ài,ài,有‧‧‧之癖的,to be apt to | to be prone of
Hit ê lâng ài kap lâng oan-ke.,,那個人很喜歡跟人打架,That fellow is prone to quarrel (to fight and fuss) with others.
ài-bō͘,ài-bōo,愛慕,to love ardently
ài-khùn,ài-khùn,愛睡的,to be sleepy
Lí ē ài-khùn--bē? Góa chin ài-khùn.,,你睏嗎？我很睏,Are you sleepy? I am very sleepy.
ài-jîn,ài-jîn,愛人 | 意中人,a sweetheart
ài-chêng,ài-tsîng,愛情,love | affection
"Pē-bú ê ài-chêng sī pí soaⁿ khah koân, pí hái khah chhim.",,父母的愛情是比山還高，比海還深。,Parent’s love is higher than the mountains and deeper than the sea.
ài-kok-sim,ài-kok-sim,愛國心,patriotism
I sī chi̍t ê chin ū ài-kok-sim ê eng-hiông.,,他是一個很有愛國心的英雄,He is a hero of patriotism.
ai-kiû,ai-kiû,哀求 | 懇求,to entreat | petition | request
I ai-kiû góa tio̍h chi̍t chheng kho͘ chioh--i.,,他懇求我得把壹千元借給他,He is requesting me to lend him a thousand dollars.
ai-keng,ai-king,哀矜,works of mercy | charitable deeds
"Chò bô lâng khòaⁿ--kìⁿ ê ai-keng, Thian-chú lóng ē chai-iáⁿ.",,做沒有被別人看到的哀矜，天主都會知道,"If one does a charitable deed, which no one sees, God will know all about it."
ai-ki̍p,ai-ki̍p,埃及,Egypt
ài-māi,ài-māi,曖昧,underhand | deceitful
Tùi kim-chîⁿ chi̍t-sut-lá to m̄-thang ài-māi.,,對金錢一點也不要曖昧(馬虎),Don’t be deceitful (underhand) about the least bit of money.
āiⁿ,āinn,背,to carry a person on one's back
Hit ê hū-jîn-lâng āiⁿ (or iāng) chi̍t ê gín-ná.,,那個婦人背一個小孩子,That woman is carrying a child on her back.
ak-hoe,ak-hue,澆水 | 澆花,to water flowers
ak-hō͘,ak-hōo,淋雨,to be caught in the rain
M̄-thang chhut-khì gōa-bīn ak hō͘.,,不要出去外面淋雨,Don’t go outside and get caught in the rain.
ak-tio̍h-hō͘,ak-tio̍h-hōo,淋著雨,past participle of [ak-hoo7]
Góa cha-hng khì sàm-pō͘ ê sî ū ak-tio̍h hō͘.,,我昨天去散步的時候淋到了雨,"Yesterday, when I went for a walk, I was caught in the rain."
"Saⁿ m̄-thang phi tòa hia, ē ak-tio̍h hō͘.",,衣服不要晾在那裡，會淋到雨,"Don’t hang out the clothes over there, they will be soaked in the rain."
ak-chúi,ak-tsuí,澆水,to water | to sprinkle
"Chin kú bô lo̍h-hō͘, hoe tio̍h ài ak chiú.",,很久沒有下雨，花木要澆水,"It has not rained for a long time, the flowers must be watered."
ak-chhiú,ak-tshiú,握手,a hand-shake | to shake hand
I ū kap góa ak-chhiú.,,他和我握手,He shook hands with me.
àm-sî,àm-sî,晚上,at night
àm,àm,暗,dark
eng-àm,ing-àm,今天晚上,tonight
chang-àm,tsang-àm,昨天晚上,last-night
boeh-àm-á | boeh-àm-á-sî,bueh-àm-á | bueh-àm-á-sî,黃昏,at dusk
I boeh-àm-á chiū ē tńg--lâi.,,他傍晚就會囘來,He will come back at dusk.
àm-khò,àm-khò,晚課,night prayers
liām àm-khò,liām àm-khò,念晚課,to say night prayers
ám | khó,ám | khó,泔,rice water | watery
ám-môe,ám-muê,稀飯,congee | rice boiled very soft and watery
àm-kì,àm-kì,暗記 | 背念,memorizing | to memorize
Chit khò tio̍h-ài àm-kì khí--lâi.,,這課你要暗記(背念)起來,You must memorize this lesson.
àm-siōng,àm-siōng,背誦,to recite | recitation
Lí ē-hiáu àm-siōng Siōng Téng Thòng-hóe Keng--bē?,,你會不會背誦(背念)上等痛悔經嗎？,Can you recite the act of perfect contrition?
àm-hō,àm-hō,暗號,a cipher | a code-word | a password | a signal
àm-sek,àm-sik,暗室,a dark room for photography
àm-sat,àm-sat,暗殺,to assassinate
Hit ê lâng siūⁿ boeh àm-sat Bí-kok chóng-thóng.,,那個人想要暗殺美國總統,That fellow is planning to assassinate the president of America.
àm-sī,àm-sī,暗示,a hint | to suggest
"Chit tiâu soàn-su̍t, lí nā kā I àm-sī, i chiū ē hiáu sǹg.",,這題算術你若給他暗示，他就會算,"If you would give him a hint, he would be able to solve this problem (in mathematics)."
âm-khang,âm-khang,暗渠 | 暗溝,an underdrain | a subterranean drain
"Âm-khang that-le chúi bē lâu, ài chheng-chheng--lè!",,暗溝堵塞着水不流，把他清一清,The drain is stopped up; it must be cleared.
án-chóaⁿ | chái-iūⁿ | ná,án-tsuánn | tsái-iūnn | ná,怎麼,Why? How?
án-ni,án-ni,這樣 | 如此,thus | so
ân,ân,緊,tight
an-choân,an-tsuân,安全,safe | reliable | safety
an-choân tē-it,an-tsuân tē-it,安全第一,Safety first!
an-sim,an-sim,放心,to feel at ease | peace of mind | free from anxiety
"Lí ê pīⁿ it-tēng ē hó, chhiáⁿ lí an-sim.",,你的病一定會好，請你放心,"You certainly will recover from your sickness, please be at ease."
an-lo̍k,an-lo̍k,安樂,peaceful | comfortable
Tâi-oân sī chin an-lo̍k ê só͘-chāi.,,台灣是很安樂的地方,Formosa is a very peaceful place.
an-ún,an-ún,安穩,quiet | peaceful | safety
An-ún kòe-ji̍t.,,安穩過日,To live in peace and quiet. (To pass the days peacefully)
an-ùi,an-uì,安慰,to comfort | console
"I sí chi̍t ê gín-ná, sim-koaⁿ it-tēng chin kan-khó͘, lán lâi-khì kā i an-ùi.",,他失掉一個孩子心肝一定真艱苦我們來去安慰他,"He just lost a child, he is very much grieved, let’s go and console him."
àn-sǹg,àn-sǹg,打算,intend to | presume | expect
Lí àn-sǹg boeh tòa Tâi-pak kúi ji̍t?,,你打算在台北住幾天,How many days do you expect to stay in Taipei?
"Góa àn-sǹg ē hó thiⁿ, soah bô tòa hō͘-sòaⁿ lâi.",,我打算天會放晴，所以沒有帶雨傘來,"I thought the weather would be good, so I did not bring an umbrella."
àn-kiāⁿ,àn-kiānn,案件,a case
Lu̍t-su kóng chit ê àn-kiâⁿ chin hùi-khì.,,律師說這個案件很麻煩,The lawyer said this case is very troublesome.
âng,âng,紅,red
âng-sek,âng-sik,紅色,red color.
âng-tê,âng-tê,紅茶,black tea
âng-iⁿ-á | âng-eⁿ-á,âng-inn-á | âng-enn-á,嬰孩,an infant
seⁿ âng-eⁿ-á | siⁿ âng-iⁿ-á,senn âng-enn-á | sinn âng-inn-á,生嬰孩,to give birth to a baby
ang-á,ang-á,玩偶 | 洋娃娃 | 卡通,a doll | drawings
ang-á tô͘,ang-á tôo,卡通 | 圖畫,cartoons | comics
Gín-ná ài khòaⁿ ang-á tô͘.,,孩子們喜歡看卡通,Kids like to look at cartoons. (comics)
ang,ang,丈夫,husband
Ang tio̍h-ài thàn chîⁿ chhī bó͘-kiáⁿ.,,丈夫必須賺錢養妻子,A husband ought to earn money to support his wife and rear his children.
ang-bó͘,ang-bóo,夫妻,husband and wife
âng-phôe-chhài | kiô,âng-phuê-tshài | kiô,茄子,an egg plant (lit. red skin vegetable)
âng-mô͘-thô͘ | âng-mn̂g-thô͘ | chúi-nî,âng-môo-thôo | âng-mn̂g-thôo | tsuí-nî,水泥,cement
Chhù-lāi ê thô͘-kha lóng ài boah âng-mô͘-thô͘.,,家裡的地板都要塗上水泥,All the floors in the house must be made of cement.
a̍p,a̍p,盒,a little box
ap-pek,ap-pik,壓迫,to press | pressure | to oppress | to force
M̄-thang ap-pek lâng chò bô-lí ê tāi-chì.,,不要壓迫他人做無理的事情,Don’t force people to do things that are unreasonable.
at,at,折,"to break | to snap (things which have the classifier ""[KI]"")"
Chit ki tek-á lí at khòaⁿ ē tn̄g--bē.,,這根竹竿你折得斷嗎？,See if you can break this piece of bamboo in two.
āu,āu,後,behind
āu-piah,āu-piah,後面,behind
āu-bīn,āu-bīn,後面,behind
āu-pái,āu-pái,下次 | 往後,next time | in the future
āu-lâi,āu-lâi,後來,after | afterwards
āu--ji̍t,āu--ji̍t,後天,the day of tomorrow
āu-ji̍t,āu-ji̍t,後來 | 以後,on some indefinite day in the future
āu,āu,後 | 下,next | the one following
āu-kù,āu-kù,下句,the next sentence
āu lé-pài,āu lé-pài,下個禮拜 | 下個星期,next week
āu-chú-ji̍t,āu-tsú-ji̍t,下個主日,next Sunday
āu-kó͘-goe̍h,āu-kóo-gue̍h,下個月,next month
āu-goe̍h-ji̍t,āu-gue̍h-ji̍t,下個月,next month
āu lé-pài gō͘,āu lé-pài gōo,下個禮拜五,next Friday
āu-nî,āu-nî,將來,some future year
āu--nî,āu--nî,後年,year after next
au-á,au-á,甌 | 杯子,cup
tê au-á,tê au-á,茶杯,tea cup
chi̍t au tê,tsi̍t au tê,一杯茶,a cup of tea
chi̍t au chúi,tsi̍t au tsuí,一杯酒,a cup of wine
au-chiu,au-tsiu,歐洲,Europe
àu,àu,腐,rotten
Chit tè ti-bah àu--khì--à.,,這塊猪肉腐爛了,This piece of pork is spoiled.
áu,áu,折,to bend
Chit ki tek-á áu bē tn̄g.,,這根竹子折不斷,This stick of bamboo will not break when it is bent.
āu-bú | āu-bó,āu-bú | āu-bó,後母 | 繼母,a stepmother
bā,bā,碼,one yard | 3 ft.
bâ,bâ,麻痹,numb
"Góa kūi chin kú, só͘-í kha chin bâ.",,我跪了很久，所以脚很麻,"I have been kneeling for a long time, so my legs are numb."
bâ-io̍h,bâ-io̍h,麻醉藥,a narcotic | an anaesthetic
bā | ba̍t,bā | ba̍t,緊 | 密合的 | 密閉的,(to shut or to cover) tight | fast
Chit sìⁿ mn̂g koaiⁿ bē bā (or ba̍t).,,Chit sìⁿ mn̂g koaiⁿ bē bā (or ba̍t).,This door is not closed tight.
Chit ê a̍p-á-kòa khàm ē bā (or ba̍t).,,Chit ê a̍p-á-kòa khàm ē bā (or ba̍t).,The cover of this box is on very tight.
Chit ê pêng-iú kap góa chin bā (but not ba̍t).,,Chit ê pêng-iú kap góa chin bā (but not ba̍t).,This friend is very close to me.
bah,bah,肉,meat
ti-bah,ti-bah,猪肉,pork
gû-bah,gû-bah,牛肉,beef
iûⁿ-bah,iûnn-bah,羊肉,mutton
ke-bah,ke-bah,鷄肉,chicken
ah-bah,ah-bah,鴨肉,duck
chiaⁿ-bah | sán-bah,tsiann-bah | sán-bah,瘦肉,lean meat
pûi-bah,puî-bah,肥肉,fat
bah-thng,bah-thng,肉湯,gravy
Bah-thng siuⁿ kiâm.,,肉湯過鹹,The gravy is too salty.
bah-suh,bah-suh,公共汽車 | 巴士,a bus
bái,bái,醜,ugly | bad
bāi,bāi,看,a suffix | to try
chhì khòaⁿ-bāi,tshì khuànn-bāi,試試看,to try
"Lí kóng ē-hiáu chò, chhì khòaⁿ-bāi--lè!",,你説你會做，試試看,"You say you can do it, go try it!"
chia̍h khòaⁿ bāi,tsia̍h khuànn bāi,吃吃看,to try to eat | to taste
khì khòaⁿ bāi,khì khuànn bāi,去看看,go and take a look
chò khòaⁿ-bāi,tsò khuànn-bāi,做做看,try to do it
phīⁿ khòaⁿ bāi,phīnn khuànn bāi,聞聞看,smell it
ba̍k-chiap,ba̍k-tsiap,眼淚,tears
ba̍k-sái,ba̍k-sái,眼淚,tears
ba̍k-chiu,ba̍k-tsiu,眼睛,eyes
chi̍t ba̍k nih-á,tsi̍t ba̍k nih-á,一瞬間,one twinkle of the eyes | A very time | an instant
ba̍k-iû,ba̍k-iû,目油 | 眼淚,water from the eyes
Hun kah lâu ba̍k-iû.,,燻得流出眼淚來,So smoky that the eyes water.
ba̍k-bâi,ba̍k-bâi,眉毛,eyebrows
ba̍k-chiu-mo͘,ba̍k-tsiu-moo,睫毛,eye-lashes
ba̍k-chiu-jîn,ba̍k-tsiu-jîn,眼珠,an eyeball
ba̍k-chiu-phôe,ba̍k-tsiu-phuê,眼瞼,an eyelid
ba̍k-io̍h,ba̍k-io̍h,眼藥,eye-lotion | eyewash
ba̍k-sái-ko,ba̍k-sái-ko,眼脂,eye-mucus
ba̍k-kiàⁿ,ba̍k-kiànn,眼鏡,eye-glass | spectacles
kòa ba̍k-kiàⁿ,kuà ba̍k-kiànn,戴眼睛,to wear spectacles | to wear glasses.
ba̍k-chhiūⁿ-sai-hū,ba̍k-tshiūnn-sai-hū,木匠,carpenter
ba̍k-chúi,ba̍k-tsuí,墨水,ink
bak chúi,bak tsuí,玩水,dabbling in water
"Gín-ná, lín m̄-thang bak chúi.",,孩子，你們不要玩水,You kid should not play with water.
ba̍k-kia̍h,ba̍k-kia̍h,木屐,wooden shoes worn in Taiwan
bān,bān,慢 | 緩,slow
bān,bān,萬,10 | 000
chi̍t pah bān,tsi̍t pah bān,一百萬,1 | 000
bān-it,bān-it,萬一,if perchance | by any chance | should there be
"Bān-it nā ū chiàn-cheng, lí boeh tńg-khì Bí-kok--bô?",,萬一有戰爭，你要囘美國嗎？,"If by chance there should be a war, would you return to America?"
bān-liân pit,bān-liân pit,自來水筆 | 萬年筆 | 鋼筆,fountain pen
bán,bán,採 | 摘,to pick | to pull | to pluck
bán tê,bán tê,採茶葉,to pick tea leaves
bán ông-lâi,bán ông-lâi,摘鳳梨,to pick pineapples
bán hoe,bán hue,採花,to pluck flowers
bán chhài,bán tshài,摘菜,to pick vegetables
bân,bân,慢,indolent | to neglect one's duty
"Chit ê gín-ná chin bân, lóng kiò bā kiâⁿ.",,這個孩子很怠慢，都叫不動,"This child is very negligent, he won’t do what he is told."
bāng,bāng,夢,a dream
bāng-kìⁿ,bāng-kìnn,夢見,to dream
Chang-àm góa bāng-kìⁿ chi̍t ê bāng chin chhù-bī.,,昨夜做了一個夢很有趣,I had a very interesting dream last night.
báng | báng-á,báng | báng-á,蚊子,a mosquito
báng-tà,báng-tà,蚊帳,a mosquito net
bāng-á,bāng-á,網,a net
bāng-á-mn̂g,bāng-á-mn̂g,網屏,screens
bāng-kiû,bāng-kiû,網球,tennis
bāng,bāng,希望,a hope | a prospect | to expect
ū bāng,ū bāng,有希望,hopeful | promising
bô bāng,bô bāng,沒有希望 | 絕望,hopeless | desperate
"Chit ê gín-ná khiáu koh kut-la̍t, chiong-lâi it-tēng chin ū bāng.",,這個孩子既聰明又勤勉，將來一定很有希望,This lad is clever and diligent; his future is very promising.
Chit ê pīⁿ-lâng bāng Thian-chú ê pó-iū í-gōa bô sím-mih hoat-tō͘--a.,,這個病人望天主保佑他以外沒有什麽辦法了,"Besides hope in God’s protection, nothing can be done for this sick person."
bat,bat,曾經,have been + verb
m̄-bat,m̄-bat,未曾,never
ba̍t-sat,ba̍t-sat,臭蟲,a bed bug
bat,bat,認識,to know | to recognize
M̄ jīn bat Thian-chú.,,不認識天主,Not to acknowledge that there is a God.
M̄ sio-bat.,,不相識,do not know each other.
ba̍t,ba̍t,密,secretly | closely
Chhàng khah ba̍t--lè,,,to hide it more secretly.
Khǹg khah ba̍t--lè,,,"to put closer together, to hide it more secretly."
Khiā khah ba̍t--lè,,,to stand closer together
Chèng khah ba̍t--lè,,,to plant more closely together
ba̍uh | pau-pān,ba̍uh | pau-pān,包辦 | 承辦,to contract for a piece of work
Chit keng chhia-khò͘ hō͘ lí ba̍uh khí ài kúi ê chîⁿ?,,這間車庫給你包辦建築要多少錢？,How much would be your contract for this garage?
bē hiáu,bē hiáu,不會,not understand | not to know to
bé,bé,馬,a horse
khiâ bé,khiâ bé,騎馬,to ride a horse
bé,bé,買,to buy
bē,bē,賣,to sell
bé-bē,bé-bē,買賣,trade | bussiness
bē,bē,不,not able
bē ēng--tit,bē īng--tit,不行 | 不能用的,improper | not alright
bē-kì-tit,bē-kì-tit,忘記,do not remember | to forget
bē sìn--tit,bē sìn--tit,不能信的,can not be believed | can not believe | do not believe
"I kóng ê ōe, góa lóng bē sìn--tit.",,他說的話，我都不能相信,I don’t believe anything he says.
bē jīn--tit,bē jīn--tit,不認得,can not recognize | can not be recognized | do not recognize
"Hit ê lâng ê bīn, lí ē jīn--tit--bē?",,那個人的臉，你認得嗎？,Do you recognize that fellow’s face?
bē-tàng,bē-tàng,不能,can not
bê-sìn,bê-sìn,迷信,superstitions
Bê-sìn it-tēng ài phah-phòa.,,迷信一定要打破,Superstitions certainly must be destroyed.
bé-chô,bé-tsô,粖槽,a crib
bé-tiâu,bé-tiâu,馬廄,a stable
bē-tiâu,bē-tiâu,不牢,not firmly fixed | fastened or tied
kì bē-tiâu,kì bē-tiâu,記不牢,can not memorize
"Chit kù chin chhim, kì lóng bē tiâu (or chin oh àm-kì).",,這句很深，都記不住（很難背誦）,"This is a very difficult sentence, I can not memorize it."
khó bē-tiâu,khó bē-tiâu,考不上,can not pass entrance exam
Lí nā m̄ tha̍k chheh ē khó bē tiâu.,,你要是不讀書，你會考不取,"If you won’t study, you will not be able to pass the examination."
liâm bē-tiâu,liâm bē-tiâu,黏不牢,will not stick on
Chng-á kap chng-á bô ēng âng-mô͘-thô͘ liâm bē tiâu.,,磚子和磚子間，不用水泥就粘不着,"If you don’t use cement, one brick will not stick to the other."
khiā bē-tiâu,khiā bē-tiâu,站不住,can't stand up | can't remain standing
Góa lâng kan-khó͘ kah khiā bē tiâu.,,我身體不舒服以致於站不住,I am so sick that I can’t stand on my feet.
pa̍k bē-tiâu,pa̍k bē-tiâu,縛不牢 | 綁不住,can not tie up
"Chit chiah káu ēng soh-á pa̍k bē tiâu , liâm-piⁿ ē kā--tn̄g.",,這隻狗用繩子綁不住，馬上就咬斷,"You can’t tie up this dog with a rope, he immediately bites it in two."
khùn bē-tiâu,khùn bē-tiâu,睡不着,can not stay in bed
"I-seng kiò góa m̄-thang peh--khí-lâi, góa m̄-kú khùn bē tiâu.",,醫生叫我不要起床，但是我再也躺不住了,"The doctor told me not to get up, but I can’t stay in bed."
chia̍h bē-tiâu,tsia̍h bē-tiâu,吃不牢,can't hold anything down
"Chit ê gín-ná io̍h-á chia̍h lóng bē tiâu (pak), liâm-piⁿ thò͘-thò͘--chhut-lâi.",,這個孩子醫藥都吃不下肚子，一會兒就吐出來,"This youngster can’t hold any medicine down, he immediately throws it up."
bê,bê,迷 | 誘惑 | 奪魂,tempt | charm | fascinate
Lí m̄-thang hō͘ pháiⁿ cha-bó͘ bê--khì.,,你不要被壞女人誘惑（迷）,Don’t be fascinated by a wicked woman.
be̍h-á,be̍h-á,麥,wheat
be̍h-á-chiú,be̍h-á-tsiú,啤酒 | 麥酒,beer
hoan-be̍h,huan-be̍h,玉米 | 玉蜀黍,maize | corn
beh | boeh,beh | bueh,要,to want | wish | will | sign of future
Hit ê lâng teh boeh (beh) sí--à!,,那個人快要死了！,That man is on the point of death. (in articulo mortis)
be̍h-á | boe̍h-á,be̍h-á | bue̍h-á,襪子,socks | stockings
chi̍t siang boe̍h-á,tsi̍t siang bue̍h-á,一雙襪子,a pair of socks (or stockings)
be̍k-léng-siâⁿ,bi̍k-líng-siânn,白冷城,Bethlehem
be̍k-sióng,bi̍k-sióng,默想 | 沉思,meditation | to meditate
I teh be̍k-sióng i só͘ chò ê tāi-chì.,,他在默想他所做的事,He is meditating (pondering over) on all he has done.
be̍k-sī,bi̍k-sī,默示,revelation
be̍k-sī lo̍k,bi̍k-sī lo̍k,默示錄,the book of Revelation | the Apocalypse
bêng-pe̍k,bîng-pi̍k,明白,to understand | clear
Lí thiaⁿ ū bêng-pe̍k--bô?,,你有沒有聽明白？,Did you hear it clearly?
bêng-bêng,bîng-bîng,明瞭地,clearly
"Lí bêng-bêng kóng boeh khì, àn-chóaⁿ kàu sî chiah kóng m̄ khì?",,你明明說要去，怎麽到時候才説不去？,"You clearly said you were going, how come, when the time came, you said you were not going."
bêng-sìn phiàn,bîng-sìn phiàn,明信片,post-card
bēng,bīng,命,to order | an order
Lí tio̍h-ài thiaⁿ pē-bú ê bēng.,,你必須聽從父母的命令,You must obey your parent’s commands.
kài-bēng,kài-bīng,誡命,a commandment of God.
bēng-lēng,bīng-līng,命令,to order | an order
Hit ê gín-ná m̄ thiaⁿ sian-siⁿ ê bēng-lēng.,,那個小孩子不聽老師的命令,That kid does not obey the teacher’s orders.
béng,bíng,猛,fierce
béng-siù,bíng-siù,猛獸,a beast of prey
bí-kok,bí-kok,美國,America
bí-kok lâng,bí-kok lâng,美國人,an American
bí-su̍t,bí-su̍t,美術,fine art
Lí ài Tang-iûⁿ ê bí-su̍t--bô?,,你喜歡東方的美術嗎？,Do you like Oriental art?
bí-su̍t-ka,bí-su̍t-ka,美術家,an artist
bí-iông-īⁿ,bí-iông-īnn,美容院,a beauty parlour
bī,bī,謎 | 猜,a riddle | a puzzle | to solve a riddle
Góa chò chi̍t ê bī hō͘ lí chhai.,,我做一個謎給你猜,I’ll make up a riddle for you to solve.
bí,bí,米,rice
chu̍t-bí,tsu̍t-bí,糯米,glutinous rice
chāi-lâi bí | pún-tó bí,tsāi-lâi bí | pún-tó bí,在來米,the customary rice | the old rice | local rice.
hōng-lâi-bí,hōng-lâi-bí,蓬萊米,the exotic rice | the improved rice
bí-lē,bí-lē,美麗,pretty
bí-jîn,bí-jîn,美人,pretty girl
bí-móa | bí-boán,bí-muá | bí-buán,美滿,perfect | harmonious | peaceful
Góa ǹg-bāng lín ang-bó͘ kiàn-siat chi̍t ê bí-móa (bí-boán) ê ka-têng.,,我希望你們夫婦建設一個美滿的家庭,"I hope that you, husband and wife, will establish a perfect family."
bián | m̄ bián,bián | m̄ bián,不必 | 不要,no need | not necessary
bián khì | m̄ bián khì,bián khì | m̄ bián khì,不必去,no need to go
