wuu-Hant-x-taiz1238,x-emoji,en-US,x-image,nan-Hant-x-chao1239,ral,swh,wuu-x-ouji1238,zh-Hans-CN,zh-Hant-TW,zyg-x-yang1286
,,smoothly,,,,,顺利,顺利,,
搭,,and,,佮,,,,和,而 | 和,
收藏集名字,,Collection Name,,,,,,收藏集名称,收藏名稱,
地理區塊要物堂地,,Geographic region or area,,,,,,地理区域或地区,地理位置或區域,tei2 tuai2
,,for a long time,,,,,长远,好久,,
長講个客套話,,Useful for greeting,,,,,,常用问候语,用於問候,
導出來爻！,,Export Ready!,,,,,,导出就绪！,匯出就緒！,
開賬號失敗。檢查爾个信息再轉試。,,Registration failed. Please check your information and try again.,,,,,,注册失败。请检查您的信息并重试。,註冊失敗。請檢查您的資訊並重試。,
從濟細順,,Left to Right,,,,,,从左到右,從左到右,
多謝開賬號。相勞望朞爾个郵箱來驗證賬號。,,Thank you for registering. Please check your email to verify your account.,,,,,,感谢您的注册。请检查您的邮箱以验证账户。,感謝您的註冊。請檢查您的信箱以驗證帳戶。,
新个詞句,,new expression,,,,,,新词句,新詞句,
號名,,Username,,,,,,用户名,使用者名稱,
🛠️ 幫忙磹話,,🛠️ Assist Translation,,,,,,,🛠️ 協助翻譯,
早時版本,,Version History,,,,,,版本历史,版本歷史,
關爻,,Close,,,,,,关闭,關閉,
郵箱驗證,,Email Verification,,,,,,邮箱验证,電子信箱驗證,
揀約磹个話,,Select target language,,,,,,请选择目标语言,請選擇目標語言,
服務項目,,Terms of Service,,,,,,服务条款,服務條款,
起屋,,build,,,,,,,,
,🏞️,Day,,日時,,,,白天,,
有關,,About,,,,,,关于,關於,
羹瓢 | 瓢羹,,gravy spoons,,,,,,,,
早界,,morning,,,,,早朗向,早上,早上,
剪衣裳,,to cut out a dress,,,,,,,,
徠𡍲上賬號...,,Signing in...,,,,,,登录中...,登入中...,
,,recently,,,,,搿腔,最近,,
,,,,馬,,farasi,,马,,
新意思省講,,New meaning gloss,,,,,,新含义简述,新含義標題,
,,where,,底搭 | 底塊,,,阿里,哪里,,
眼,,eyes,,,,,,,眼睛,
僵地圖裏揀,,Select on map,,,,,,在地图上选择,在地圖上選擇,
加新个詞句 | 加新个詞句,,Create Expression,,,,,,创建词句,建立詞句,
用别個詞試試相要物加新个詞句 | 用别個詞試試相要物加新个詞句,,Try different search terms or add a new expression,,,,,,尝试不同的搜索词或添加新词句,嘗試不同的搜尋詞或新增詞句,
統天下,,Global,,全球,,,,全球,全球,
,🚌,,,公交車,,,,公交车,公車,
操作,,Actions,,,,,,操作,操作,
查語言搭地區之間个詞句,,Find linguistic expressions across languages and regions,,,,,,查找跨语言和地区的词句,跨語言和地區查詢詞句,
脚布巾 | 繳脚布頭 | 脚布,,rag,,,,,,,抹布,
畀參考个話翻印到所磹个話裏 | 畀參考个話翻印到所磹个話裏,,Copy reference translation to target,,,,,,将参考翻译复制到目标,將參考翻譯複製到目標,
分析所在信息失敗,,Failed to parse location information,,,,,,无法解析位置信息,無法解析位置資訊,
講講相,,Description,,,,,,描述,描述,
變動,,Changes,,,,,,变更,變更,
,,It's okay,,無相干,,,,没关系,,
,,,,,,samaki,,鱼,,
,,Star | star,,,,,,星星,,nau1 nei5
啞佬,,,,,,,,,啞巴,
囡兒壻,,daughter's husband,,,,,,,,
衣裳,,clothes,,,,,,,,
徠𡍲加...,,Adding...,,,,,,添加中...,正在新增...,
裁縫老司 | 裁縫,,tailor,,,,,,,裁縫,
收藏集存起,,Save Collection,,,,,,保存收藏集,儲存收藏,bao5 xoen2 xoeu5 xang2 ki2
探查我所在,,Detect my location,,,,,,检测我的位置,偵測我的位置,khjam1 tei2 ngo5
自己設个話名,,Custom Language,,,,,,自定义语言,自訂語言,
密,,High,,,,,,高,高,
蝦蟆,,toad,,,,,,,,
對箇意思个全面講法,,A comprehensive description of what this meaning represents,,,,,,对此含义所代表内容的全面描述,對此含義所代表內容的全面描述,
探地圖,,Explore Map,,,,,,探索地图,探索地圖,
條目,,items,,,,,,条目,項目,
話代號,,Language Code,,,,,,语言代码,語言代碼,
參考个話,,Reference Language,,,,,,参考语言,參考語言,
無,,none,,,,,,无,無,
中,,Medium,,,,,,中,中,
穿起爻,,Already linked,,,,,,已链接,已連結,
隱私方案,,Privacy Policy,,,,,,隐私政策,隱私政策,
家爺,,wife's fatherinlaw,,,,,,,公公,
進賬號,,Login,,,,,,登录,登入,
聯結有个意思,,Associate with Existing Meaning,,,,,,关联现有含义,關聯現有含義,
適合電子表,,Best for spreadsheets,,,,,,适合电子表格,適合試算表,
聯結新个意思,,Associate with New Meaning,,,,,,关联新含义,關聯新含義,
,,Present,,ché-mi̍h | ché-mia̍h | 今 | 此陣,,,,现在 | 这时 | 此刻,,
,,sky,,,,,,天空 ：,,fa2
箇是條詞句瑲朞个版本 | 箇是條詞句瑲朞个版本,,Current version of this expression,,,,,,这是该词句的当前版本,這是該詞句的當前版本,
,,,,,,,,天气 ： 雾,,nai2 mok9
日裏,,daytime,,,,,,,,
揀話...,,,,,,,,,,
地圖收起,,Hide Map,,,,,,隐藏地图,隱藏地圖,
日加日,,,,,,,,每日,每天,
關聯含義,,Associate with Meaning,,,,,,,,
關聯意思,,Associate with meanings,,,,,,,,
穿起爻个詞句 | 穿起爻个詞句,,Associated Expressions,,,,,,已关联词句,已關聯詞句,
面巾,,a towel for the face,,,,,,,(洗臉用)毛巾,
,,,,,,vuli,,短雨季,,
詞句个詳細講法,,Expression Details,,,,,,词句详情,詞句詳情,
標籤有助分類搭查意思,,Tags help categorize and find meanings,,,,,,标签有助于分类和查找含义,標籤有助於分類和查找含義,
捺回車要物逗號加一個,,press Enter or comma to add,,,,,,按回车或逗号添加,按回車鍵或逗號添加,
約磹个話,,Target Language,,,,,,目标语言,目標語言,
加新个話失敗爻。轉加。,,Failed to add language. Please try again.,,,,,,添加语言失败。请重试。,新增語言失敗，請重試。,
清爽,,pure | clean,,,,,,,乾淨,
,,s,,,,,,,,
加新个意思,,Create Meaning,,,,,,创建含义,建立含義,
開用,,Get Started,,,,,,开始使用,開始使用,
分享个收藏,,Shared Collections,,,,,,共享收藏,共享收藏,kong3 jang3 xoeu5 xang2
 徠𡍲尋地方化捺鍵...,,Search localization keys...,,,,,,搜索本地化键...,搜尋本地化鍵...,
㫰衣裳,,air clothes,,,,,,,,
,,cloud,,,,,,云朵,,woen2 pha3
老官,,husband,,,,,,,,
朗 | 朗,,Low,,,,,,低,低,
布帳鈎,,a hook for mosquito net,,,,,,,,
參考个話無處搭約磹个話樣,,Reference and target languages cannot be the same,,,,,,参考语言和目标语言不能相同,參考語言和目標語言不能相同,
,🩴,,,鞋拖,,,,拖鞋,拖鞋,
望地圖 →,,View Map →,,,,,,查看地图 →,檢視地圖 →,
退賬號失敗。轉試試試相。,,Logout failed. Please try again.,,,,,,退出登录失败。请重试。,登出失敗。請重試。,
隱姓埋名,,Anonymous,,,,,,匿名,匿名,
不佻佗,,unpleasant,,,,,,,,
總个詞句數,,Total Expressions,,,,,,总词句数,總詞句數,
徠𡍲存牢...,,Saving...,,,,,,保存中...,儲存中...,bao5 xoen5 jou5...
先生,,a doctor | physician | master of a school | teacher,,,,,,,,
建立您的第一個收藏集來開始管理表達式。,,Create your first collection to start organizing expressions.,,,,,,,建立您的第一個收藏集來開始管理表達式。,
自動,,auto,,,,,,自动,自動,
頭幅,,Home,,,,,,家庭 | 首页,主頁,
頭前頁,,Prev,,,,,,上一页,上一頁,moi1 bang2
,🚕,,,的士,,,,的士 | 出租车,計程車,
參考,,Reference,,,,,,参考,參考,
,,,,,,tembo,,大象,,
兩孃姨丈,,,,,,,,,,
尋來个帶箇詞句个物事。,,Search results include the current expression.,,,,,,搜索结果包含当前词句。,搜尋結果包含當前詞句。,
開賬號,,Sign up,,,,,,注册,註冊,
適合開發人員,,Best for developers,,,,,,适合开发者,適合開發者,
無處用个版本,,No versions available,,,,,,无可用版本,無可用版本,
磹个進度,,Translation Progress,,,,,,翻译进度,翻譯進度,
晚頭,,,,,,,,,,
✨ 加新个話,,,,,,,,,,
,,,,展臉,,,,显摆 | 炫耀,炫耀,
土話,,dialect,,,,,,,,
加詞句 →,,Add New →,,,,,,添加词句 →,新增新詞 →,
箇詞句意思朆穿過,,No meanings associated with this expression,,,,,,此词句未关联任何含义,此詞句未關聯任何含義,
開尋 →,,Start Searching →,,,,,,开始搜索 →,開始搜尋 →,
戳眼,,,,,,,,,,
趒“我收藏个”加新个收藏集𣍐？瑲个進度不存。 | 趒“我收藏个”加新个收藏集𣍐？瑲个進度不存。,,Go to My Collections to create a new one? Current progress won't be saved.,,,,,,是否前往“我的收藏”创建新收藏集？当前进度将不会保存。,前往『我的收藏』建立新的？目前進度將不會保存。,
JSON,,JSON,,,,,,JSON,JSON,
磹,,Translate,,,,,,翻译,翻譯,
,,Weather,,天時,,,,天气,天氣,
收藏集更新好爻,,Collections updated successfully,,,,,,收藏集更新成功,收藏更新成功,xoeu5 xang2 ki2 koeng3 xim3 nai1 a3
統天下,,Global,,,,,,全球,全球,
穿到意思,,Link to meaning,,,,,,链接到含义,連結到含義,
暫時無窖寫寫,,No description provided.,,,,,,暂无描述。,暫無描述。,moei2 nau4 miau2 su3 nau5
新个收藏集,,New Collection,,,,,,新建收藏集,新建收藏集,
堂地,,Regions,,,,,,地区,地區,
學堂生,,scholar | pupil,,,,,,,學生,
文字,,Text,,,,,,文本,文本,
,,,,,,,早朗头,,,
放,,Play,,,,,,播放,播放,
移爻詞句,,Remove expression,,,,,,,移除詞句,
,🥄,,,調羹,,,,勺子,湯匙,
箇詞句个來源要物參考,,Origin or reference for this expression,,,,,,此词句的来源或参考,此詞句的來源或參考,
尋約穿个詞句...,,,,,,,,,,
會員開算時間 | 會員開算時間,,Member since,,,,,,会员时间,會員時間,
母媽 | 孃 | 阿姨,,,,媽媽,,,,妈妈,媽媽,
天亮早界,,,,,,,,明天上午,明天早上,
鼻頭,👃,nose | smell,,鼻,,,,鼻子,,
已翻印!,,Copied!,,,,,,,已複製!,
布帳,,mosquito curtain,,,,,,,,
夫家,,,,,,,,婆家,,
身份,,Role,,,,,,角色,角色,
加勒,,Created on,,,,,,创建于,建立於,xuang3 kjen3
提交,,Submit,,,,,,,提交,
揀話,,Select language,,,,,,,選擇語言,
,,,,,,,早朗,,,
收藏集,,Collections,,,,,,收藏集,收藏集,xoeu5 xang2 ki2
手末節頭,,fingers,,,,,,,,
開新个賬號,,Create a new account,,,,,,创建新账户,建立新帳戶,
等朞，瑲朞徠𡍲準備文件牢。,,Please wait while we prepare your file.,,,,,,请稍候，正在为您准备文件。,請稍候，正在為您準備檔案。,
尋各種話搭堂地裏許詞句搭講法。,,Find how words and sentences are expressed across different languages and regions.,,,,,,查找不同语言和地区中词汇和句子的词句。,查找不同語言和地區中詞語和句子的表達方式。,
來源參考,,Source reference,,,,,,来源参考,來源參考,
好省,,optional,,,,,,,可選,
磹話存起,,Save Translations,,,,,,保存翻译,儲存翻譯,
磹話填箇𡍲,,Please enter translation,,,,,,请输入翻译,請輸入翻譯,
話還朆激活,,Language Not Activated,,,,,,语言未激活,語言未啟用,
完成度乞達到60%,,completion rate needs to reach 60%,,,,,,完成度需达到60%,完成度需達到60%,
昨夜,,,,,,,,昨晚,昨夜,
大屋,,coffin,,,,,,,,
統天下許話个分佈,,Global Language Distribution,,,,,,全球语言分布,全球語言分佈,
,,World,,世界,,,,世界,,
CSV,,CSV,,,,,,CSV,CSV,
徠𡍲讀收藏集牢...,,Loading collections...,,,,,,,正在載入收藏集...,
兒,,son,,,,,,,兒子,
點地圖選堂地,,Click on the map to select a region,,,,,,点击地图选择区域,點擊地圖選擇區域,tot7 ti2 thu3 khjam3 tei2
,,,,,,,,冰雹,,thap7
話个名字,,Language Name,,,,,,语言名称,語言名稱,moeng2 ji5 jen2
尋着,,Found,,,,,,找到,找到,
大蟲,,tiger,,,,,,老虎,,
從順細濟,,Right to Left,,,,,,从右到左,從右到左,
存,,Save,,,,,,保存,儲存,bao5 xoen2
地方化捺鍵,,Localization Key,,,,,,本地化键,本地化鍵,
徠𡍲尋...,,Searching...,,,,,,搜索中...,正在搜尋...,
轉到尋摗,,Back to Search,,,,,,返回搜索,返回搜尋,
伯,,father,,,,,,,爸爸,
詞句密度,,Expression Density,,,,,,词句密度,詞句密度,
,,you (singular.),,汝,,,,你,你,
激活起爻,,Language Activated,,,,,,语言已激活,語言已啟用,
兄弟 | 兄弟隊,,brethren | brothers,,,,,,,兄弟,
,,,,,,,,冰,,pin5
揀導出个格式：,,Choose a format to export your collection:,,,,,,选择导出格式：,選擇匯出格式：,
編,,Edit,,,,,,编辑,編輯,mai1
,,,,被,,,,被子,棉被,
串起所有話 | 串起所有話,,Connect All Languages,,,,,,连接所有语言,連結所有語言,
孃妗 | 阿妗,,maternal uncle's wife,,,,,,,,
走出去蕩蕩个人覺得越更佻佗,,,,,,,,出去散步的人感觉更舒服,,
註,,Note,,,,,,备注,備註,bei3 zu3
穿起个詞句,,Associate Expressions,,,,,,关联词句,關聯詞句,
確認密碼,,Confirm password,,,,,,确认密码,確認密碼,
,🌞,Sun,,日頭,,,,太阳,太陽,
,🏫,School,,學校,,shule,,学校,,
穿起,,Link,,,,,,链接,連結,
土名字,,Native Name,,,,,,本地名称,本地名稱,
翻印,,Copy,,,,,,,複製,
删,,Delete,,,,,,删除,刪除,tat7
换衣裳,,dress,,,,,,,,
,,,,有竅,,,,有办法,有辦法,
改密碼,,Change Password,,,,,,更改密码,變更密碼,
老安 | 老太,,wife,,,,,,,老婆,
爾个文件生成成功爻。,,Your file has been generated successfully.,,,,,,您的文件已成功生成。,您的檔案已成功產生。,
朆尋着物事,,No results found,,,,,,未找到结果,未找到結果,
孃伯,,parents,,,,,,,,
删牢...,,Deleting...,,,,,,,刪除中...,
驗證鏈接不起作用要物過期爻。,,The verification link is invalid or has expired.,,,,,,验证关联无效或已过期。,驗證連結無效或已過期。,
爾老實約畀箇收藏集删爻啊？,,Are you sure you want to delete this collection?,,,,,,您确定要删除这个收藏集吗？,您確定要刪除此收藏嗎？,
所揀个詞句：,,Selected expression:,,,,,,选定的词句：,已選詞句：,
收藏集導出,,Export Collection,,,,,,导出收藏集,匯出收藏集,
不識,,Unknown,,,,,,未知,未知,
意思講講相,,Meaning Description,,,,,,含义描述,含義描述,
望搭管理爾个賬號信息,,View and manage your account information,,,,,,查看和管理您的账户信息,檢視和管理您的帳戶資訊,
翻好个,,Translated,,,,,,已翻译,已翻譯,
,,sun,,,,,,太阳,,tha1 wan2
書寫方向,,Text Direction,,,,,,文本方向,文字方向,
做衣裳,,to make clothes,,,,,,,,
兩老 | 兩公老安,,,,,,,,,,
地方堂地名字,,Native Region Name,,,,,,本地地区名称,本地地區名稱,moeng2 tei2 ni5
退賬號,,Logout,,,,,,退出登录,登出,
通過加爾个話要物地方个詞句爲我搭爾个數據庫做功勞。,,Contribute to our database by adding expressions from your language or region.,,,,,,通过添加您语言或地区的词句为我们的数据库做贡献。,通過新增您語言或地區的詞句為我們的資料庫做貢獻。,
取消,,Cancel,,,,,,取消,取消,khi3 xiau3
一許收藏集朆更新好,,Failed to update some collections,,,,,,部分收藏集更新失败,部分收藏更新失敗,moei2 ki3 lai1 xoeu5 xang2 ki2 koeng3 xim3 mi3 nai1 nau5
徠𡍲讀話牢...,,Loading languages...,,,,,,加载语言中...,正在載入語言...,
家孃,,wife's motherinlaw,,,,,,,婆婆,
,🦇,,,蝠婆,,,,蝙蝠,,
孃家 | 孃邊,,,,,,,,,,
等朞，瑲還徠𡍲驗證爾个郵箱。,,Please wait while we verify your email address.,,,,,,请稍候，我们正在验证您的邮箱地址。,請稍候，我們正在驗證您的電子信箱。,
我中意个,,My Favorites,,,,,,我的最爱,我的最愛,
頁,,Page,,,,,,页,頁,moi1
,,,,,,,,风,,lam2
話搭文字便約填。,,Language and text are required.,,,,,,语言和文本为必填项。,語言和文字為必填項。,
加新个意思...,,Create new meaning…,,,,,,创建新含义…,建立新含義…,
,,Winter | Winter,,凝天時 | 寒天時,,,,冬天,冬天,
捉箇意思个短話,,A short phrase that captures the essence of this meaning,,,,,,捕捉此含义精髓的短语,捕捉此含義本質的短語,
磹个頁面,,Translation Interface,,,,,,翻译界面,翻譯介面,
轉到收藏,,Back to Collections,,,,,,返回收藏列表,返回收藏列表,bai1 tau2 le2 biau3 xoeu5 xang2
姊妹,,,,,,,,,姐妹,
詞句打𡍲,,Enter the linguistic expression,,,,,,输入词句,輸入語言詞句,
加新詞句,,Add New Expression,,,,,,添加新词句,新增新詞句,
,🍍,,,菠蘿,,,,菠萝,鳳梨,
密碼,,Password,,,,,,密码,密碼,
,,Hello,,汝食饱未 | 汝好,,,,您好 | 你好,你好,
編收藏集,,Edit Collection,,,,,,编辑收藏集,編輯收藏集,
徠𡍲尋詞句牢...,,Searching expressions...,,,,,,搜索词句中...,正在搜尋詞句...,
徠𡍲分析位置信息...,,Parsing location information...,,,,,,解析位置信息中...,正在解析位置資訊...,
畀我記牢,,Remember me,,,,,,记住我,記住我,
詞句,,Expressions,,,,,,词句,詞句數,
轉屋裏,,return,,,,,,,,
要物,,Or,,,,,,或,或,
移爻,,Remove,,,,,,移除,移除,woet9
加標籤...,,Add a tag...,,,,,,添加标签...,添加標籤...,
爾个郵箱通過驗證爻。,,Your email has been verified.,,,,,,您的邮箱已通过验证。,您的電子信箱已通過驗證。,
瑲朞賬號好進進來爻。,,You can now log in to your account.,,,,,,您现在可以登录您的账户。,您現在可以登入您的帳號。,
比方,,e.g.,,,,,,例如,例如,
郵箱驗證成功！,,Email Verified Successfully!,,,,,,邮箱验证成功！,電子信箱驗證成功！,
爾講个話个自定代號,,Custom code for your language,,,,,,您语言的自定义代码,您語言的自訂代碼,
不標準也無窖,,can be non-standard,,,,,,可以是非标准的,可以是非標準的,
收藏集朆尋着,,Collection not found,,,,,,未找到收藏集,未找到收藏集,khjam1 mi3 tham1 xoeu5 xang2 ki2
手㬹頭,,,,,,,,手肘,,
學新个話，守護話个多樣性,,"Learn New Languages, Preserve Linguistic Diversity",,,,,,学习新语言，守护语言多样性,學習新語言，守護語言多元化,
,🌧️,,,落雨,,,,下雨,,phon1 khja5
徠𡍲讀版本牢...,,Loading versions...,,,,,,加载版本中...,載入版本中...,
經,,Longitude,,,,,,经度,經度,
,,Start,,開始,,,,开始,,
,,,,了後,,,,然后,然後,
,,,,siâⁿ,,,,引诱,引誘,
,,,,交通,,,,交通,交通,
,,,,飲食,,,,饮食,飲食,
,,,,跤徛,,,,脚撑,,
,,,,鉸刀鐵錘布袋,,,,石头剪刀布,,
,,,,親厚,,,,亲密,,
,,,,屎壑,,,,茅厕,,
,,,,十年三秋,,,,一日三秋,,
,,,,後生囝,,,,年轻人,,
