src,tgt
通配符 ：,Pattern :
捕获按键组合,Grab key combination
改变,Change
搜索,Searching
隐私,Privacy
网络,Networking
类型 ：,Type :
邮件 电子邮件 电邮,mail email e-mail
方向,Orientation
托盘的方向 。,The orientation of the tray .
打开 ...,Open ...
关于,About
主要电子邮件,Primary E-mail
昵称,Nickname
主要电子邮件 ：,Primary E-Mail :
屏幕名 ：,Screen name :
宅电 ：,Home phone :
移动电话 ：,Mobile phone :
网页 ：,Web page :
家庭,Home
城市 ：,City :
联系人,Contact
联系人查看器,Contact Viewer
国家 ：,Country :
部门 ：,Department :
传真 ：,Fax :
移动电话 ：,Mobile :
昵称 ：,Nickname :
寻呼 ：,Pager :
未经 纯文本 HTML,Unknown Plain text HTML
网页 ：,Web Page :
工作 ：,Work :
图像目录,Image Directory
缩略图目录,Thumbnail Directory
Exif 目录,Exif Directory
GPS 目录,GPS Directory
InterOperability 目录,InterOperability Directory
未知目录,Unknown Directory
搜索首选项,Object type reference
未知目录,Unknown IIM DataSet
重新装入配置,Planar Configuration
光源,Light Source
增益控制,Gain Control
永远不再忘记付账单 ！,Never forget to pay a bill again !
账单管理器,Bill manager
程序的默认高度 。,Default height of the application .
正在移除锁文件 ...,Removing Lock File ...
新分类,New Category
收款人,Payee
数量,Amount
颜色 ：,Colour :
确认,Confirmation
显示工具栏,Show the toolbar
警报类型,Alert Type
分类,Category
日期,Date
警告,Alarm
信息,Information
只有一次,Once
每周,Weekly
每月,Monthly
当前主题,Current theme
输入新频道的 URL,Enter the URL of the new channel
想要覆盖此文件吗 ？,Do you want to overwrite the file ?
导出到 ...,Export to ...
保存,Save
创建一个新组,Create a new group
删除频道吗 ？,Remove Channel ?
行为,Behaviour
主题,Theme
输入 OPML 文件的文件名或 URL,Enter the URL or filename for the OPML file
正在导入 OPML 文件,Importing OPML file
设置主题,Set Theme
关于 Blam,About Blam
创建新组,Create new group
选择 OPML 文件,Select OPML file
正在打开 OPML 文件,Opening OPML file
错误报告工具,Bug reporting tool
错误报告工具,Bug Report Tool
错误错误者姓名,Bug reporter name
该程序所属的软件包,Package containing the program
软件包,PACKAGE
文件,FILE
警告 ：,WARNING :
保存文件,Save File
链接,Link
出版日期,Date of publication
以新文件名保存当前漫画,Save the current comic with a new filename
退出应用程序,Quit application
前往下一漫画,Go to the next comic
保存漫画,Save Comic
获取漫画 ...,Getting comic …
像素,PIXEL
Byzanz 工厂,Byzanz Factory
扫描,Scanning
线性,Linear
步进时间,Step time
输入,Input
切换键,Switch key
空格,Space
切换按钮,Switch button
按钮 1,Button 1
按钮 2,Button 2
按钮 3,Button 3
外观,Appearance
触摸,Touch
最小透明度,Minimum Alpha
最大透明度,Maximum Alpha
手册,Manual
拍照,Taking a photo
删除照片,Deleting a photo
输出照片到 F-Spot,Export a photo to F-Spot
女性,Free
检查 Chronopic 端口,Connecting with Chronopic
开始通过 chronopic 连接 。,Do you want to connect to Chronopic now ?
取消,Cancel event
身高,Height
跳跃 ： 简单,Jump type
反应时间,Reaction time
应用到,Apply to
反应时间,reaction time
摘要 ：,action
当前,Current
限制,Limit
公斤,kg
总时间,Total Time
性别,Sex
数据,Data
反应,Reactive
已选,Select
竞赛,Competition
显示性别,Show angle
峰值力量,Peak Power
显示身高,Show height
Chronopic 窗口,Chronopic 1
检测,Detection
ChronoJump - 确认,Chronojump — Confirm
新的跳跃者的体重,New jumper weight
运动,Sport
Chronopic 端口帮助,Chronopic port help
检查 Chronopic 端口,Check Chronopic port
超重,Extra weight
踢球,Kick ball
额外体重,Max Height
几内亚,Guinea
ChronoJump - 错误,Chronojump — Error
电子邮件,E-mail
更改,change
国家,Country
更多信息,more info
出生日期,Date of birth
最大,Maximum
最小,Minimum
自动,auto
常规数据,Vertical Axe
显示时间,Show time
全名,Full name
体重,Weight
搜索筛选条件,Search filter
出生日期,Date of Birth
显示测试,Contact time
身高,height
喀麦隆,Cameroon
十进制数,Decimal number
年龄,Angle
平均值,Average
总时间,Totaltime
峰值力量,Peak power
生成报告,Make report
地方,Place
Chronojump 现在将退出 。,Chronojump will exit now .
更多关于 Chronojump 手册的信息,More information on Chronojump manual
正在打开端口 ...,Opening port ...
额外重量,extra weight
非洲,Africa
南极洲,Antarctica
欧洲,Europe
北美洲,North America
大洋洲,Oceania
南美洲,South America
有规律的练习,Regular practice
优秀,Elite
输入,Iran
及格,Fair
法属圣马丁,Skating
平均身高,AVG Height
总计,Total
总时间,Time total
新体重 选项 1,New weight option 1
新体重 选项 2,New weight option 2
苏里南,Suriname
竞赛,repetitive
输入,no
选择生日,Select Date of Birth
反转,Invert
选择您的体重,Select your Chronometer
身高,Falling height
显示时间,Flight time
复制,Copy
男性,Male
女性,Female
阿尔及利亚,Algeria
安哥拉,Angola
贝宁,Benin
中非共和国,Central African Republic
刚果民主共和国,"Congo , Republic of the"
吉布提,Djibouti
埃及,Egypt
赤道几内亚,Equatorial Guinea
厄立特里亚省,Eritrea
埃塞俄比亚,Ethiopia
加蓬,Gabon
冈比亚,Gambia
加纳,Ghana
肯尼亚,Kenya
利比里亚,Liberia
利比亚,Libyan Arab Jamahiriya
男性,Malawi
男性,Mali
毛里塔尼亚,Mauritania
马约特,Mayotte
摩洛哥,Morocco
莫桑比克,Mozambique
纳米比亚,Namibia
尼日利亚,Nigeria
尼日尔,Niger
圣赫勒拿,Saint Helena
塞内加尔,Senegal
塞拉利昂,Sierra Leone
索马里,Somalia
南非,South Africa
坦桑尼亚,Tanzania
多哥,Togo
赞比亚,Zambia
津巴布韦,Zimbabwe
亚美尼亚,Armenia
阿塞拜疆,Azerbaijan
巴林,Bahrain
不丹,Bhutan
中国,China
香港,Hong Kong
伊拉克,Iraq
日本,Japan
新加坡,Singapore
台湾,Taiwan
法国,France
德国,Germany
意大利,Italy
男性,Malta
西班牙,Spain
古巴,Cuba
多米尼加共和国,Dominican Republic
危地马拉,Guatemala
海地,Haiti
牙买加,Jamaica
马提尼克,Martinique
墨西哥,Mexico
尼加拉瓜,Nicaragua
巴拿马,Panama
波多黎各,Puerto Rico
圣巴托洛缪,Saint Barthelemy
圣卢西亚,Saint Lucia
法属圣马丁,Saint Martin
美属萨摩亚,American Samoa
斐济,Fiji
关岛,Guam
基里巴斯,Kiribati
瑙鲁,Nauru
纽埃,Niue
帕劳,Palau
巴布亚新几内亚,Papua New Guinea
萨摩亚,Samoa
托克劳,Tokelau
汤加,Tonga
图瓦卢,Tuvalu
瓦努阿图,Vanuatu
阿根廷,Argentina
玻利维亚,Bolivia
巴西,Brazil
智利,Chile
哥伦比亚,Colombia
法属圭亚那,French Guiana
圭亚那,Guyana
巴拉圭,Paraguay
秘鲁,Peru
乌拉圭,Uruguay
全部折叠,Volleyball
拳击,Boxing
足球,Football
超重,Extra Weight
通过时间,By time
最小高度,Min Height
分配,Allocation
色深,Depth
透明度,Opacity
文本方向,The clip region for the actor
缩放 X 坐标,Scale X
缩放 Y 坐标,Scale Y
文本方向,Text Direction
文本的方向,Direction of the text
样式管理器,Layout Manager
行对齐方式,X Alignment
行对齐方式,Y Alignment
最小高度,Margin Right
容器,Content
来源,Source
时间轴,Timeline
Alpha 值,Alpha value
对象,Object
循环,Loop
动画的时间轴,The timeline of the animation
水平对齐,Horizontal Alignment
竖直对齐,Vertical Alignment
水平填充,Horizontal Fill
竖直填充,Vertical Fill
竖直,Vertical
间距,Spacing
表明高度,Surface Height
布局方向,The orientation of the layout
列间距,Column Spacing
行间距,Row Spacing
最小行高,Minimum Row Height
每行的最小高度,Minimum height for each row
最大行高,Maximum Row Height
每行的最大高度,Maximum height for each row
设备类型,Device Type
设备管理器,Device Manager
值类型,Value Type
管理器,Manager
默认帧率,Default frame rate
文本方向,Direction for the text
字幕 URI,Subtitle URI
字幕字体名称,Subtitle Font Name
可搜寻,Can Seek
缓冲区填充,Buffer Fill
缓冲区的填充量,The fill level of the buffer
路径,Path
字体名称,Property Name
设备名称,The name of the property to animate
文件名设置,Filename Set
文件名,Filename
双击时间,Double Click Time
字体名称,Font Name
字体 DPI,Font DPI
字体描述,Font Hinting
状态,State
列号,Column Number
行号,Row Number
文本,Text
最大长度,Text length
当前解析文件的路径,Length of the text currently in the buffer
最大长度,Maximum length
缓冲区填充,Buffer
文本使用的字体,The buffer for the text
字体颜色,Font Colour
可选择,Selectable
可激活,Activatable
选区颜色,Selection Colour
选区颜色设置,Selection Colour Set
换行,Line wrap
行对齐方式,Line Alignment
最大长度,Max Length
过滤器质量,Filter Quality
像素格式,Pixel Format
选取 Alpha 通道,Pick With Alpha
延时,Delay
方向,Direction
文本的方向,Direction of the timeline
可激活,Animatable
起始色深,Start Depth
起始角度,Start Angle
初始的角度,Initial angle
终点的角度,Final angle
文本方向,Direction of rotation
中心 Z,Centre Z
颜色设置,Colour Set
矩形的颜色,The colour of the rectangle
顶点着色引擎,Vertex Source
片段着色引擎,Fragment Source
管理器,Device Path
表明宽度,Surface
表明高度,Surface height
位图,Pixmap
位图高度,Pixmap height
位图色深,Pixmap Depth
缩放 X 坐标,Scale Z
拖动坐标轴,Drag Area
初始的角度,Initial Value
内部的值类型,Initial value of the interval
终点的角度,Final Value
内部的值类型,Final value of the interval
时长,Deceleration
自然高度,Natural Height
剪切,Clip
剪切矩形,Clip Rectangle
旋转中心,Pivot Point
旋转中心 Z,Pivot Point Z
旋转中心的 Z 分量,Z component of the pivot point
X 轴缩放中心,Scale Centre X
Y 轴缩放中心,Scale Centre Y
缩放重心,Scale Gravity
旋转角 X,Rotation Angle X
旋转角 Y,Rotation Angle Y
旋转角 Z,Rotation Angle Z
旋转中心 X,Rotation Centre X
旋转中心 Y,Rotation Centre Y
旋转中心 Z,Rotation Centre Z
旋转中心 Z 重心,Rotation Centre Z Gravity
锚点 X,Anchor X
锚点 Y,Anchor Y
锚点重心,Anchor Gravity
要分配的剪切区域,Clip to Allocation
效果,Effect
顶部边界,Margin Top
底部边界,Margin Bottom
左边界,Margin Left
内容重心,Content Gravity
内容框,Content Box
缩小过滤器,Minification Filter
放大过滤器,Magnification Filter
重复内容,Content Repeat
角色,Actor
系数,Factor
堆叠开头,Pack Start
色泽,Tint
要应用的色泽,The tint to apply
背景素材,Back Material
拖动区域设置,Drag Area Set
左侧附加,Left attachment
顶部附加,Top attachment
插入,Interpolate
初始加速系数,Initial acceleration factor
字体微调样式,Font Hint Style
迷雾,Fog
没有明确的提示,No Clear Hint
列跨度,Column Span
行跨度,Row Span
重复次数,Repeat Count
间隔,Interval
可动画显示的对象,The animatable object
在完成时移除,Remove on Complete
倾角 x,Angle x tilt
倾角 y,Angle y tilt
倾角 z,Angle z tilt
中心,Centre
起始不透明度,Opacity Start
初始不透明度级别,Initial opacity level
最终不透明度级别,Final opacity level
开始角度,Angle Begin
中心 X,Centre X
中心 Y,Centre Y
X 起始刻度,X Start Scale
Y 起始刻度,Y Start Scale
水平重复,Horizontal repeat
竖直重复,Vertical repeat
Cogl 纹理,Cogl Texture
Cogl 素材,Cogl Material
Cogl 跟踪,Cogl Tracing
跟踪纹理切片,Trace Texture Slicing
跟踪日志,Trace Journal
跟踪批处理,Trace Batching
跟踪所有矩阵操作,Trace all matrix manipulation
跟踪剪切,Trace clipping
要创建的配置文件,Profile to create
ICC 配置文件创建程序,ICC profile creation program
色彩管理,Colour Management
拥有者,Owner
对象路径,Object Path
限定符printer,Qualifierprinter
类型rgb,Typergb
范围,Scope
Gamma 表,Gamma Table
配置文件 ID,Profile ID
序列号,Serial
设备 ID,Device ID
打印机,Printer
投影仪,Projector
点距,Spot
环境光,Ambient
序列号,Serial number
原生,Native
创建配置文件,Create a profile
创建色彩配置文件,Create a colour profile
移除色彩配置文件,Remove a colour profile
比较,Compare
跳过,Skip
配置,Configuration
办公,Office
显示此项,Show me
接收器,Sink
API 文档,API Documentation
转换 ， 从,Convert from
配置,Configure
API 键,API key
便签-,Note-
壁纸,Wallpaper
相册名,Album name
限制,Limit to
图标,Icon
Firefox 配置文件,Firefox Profile
认证,Authenticate
启动 F-Spot,Start F-Spot
标记名,Tag name
Gnome 终端,GNOME Terminal
删除,Delete
电影,Movie
电视节目,TV Show
照片,Photo
网络,Network
从您的 Shotwell 照片库同步,Sync from your Shotwell photo library
配置条目,Configure Item
删除组,Delete Group
删除条目,Delete Item
电子邮件 ：,E-mail :
导入联系人,Import Contact
导出联系人,Export Contact
作出选择 ：,Make a choice :
电话,Phone
首页,Homepage
邮政信箱,PO Box
分机,Ext .
街名,Street
手机,Mobile
工作,Work
传真,Fax
打开图像,Open image
无图像,No image
未分组,No Group
阿尔巴尼亚语,Albanian
阿比西尼亚官话,Amharic
阿拉伯语,Arabic
亚美尼亚语,Armenian
阿塞拜疆语,Azerbaijani
俾路支语,Balochi
别姆巴语,Bemba
孟加拉语,Bengali
布里多尼语,Breton
保加利亚语,Bulgarian
加泰罗尼亚语,Catalan
中央纳瓦特尔语,Nahuatl
克里米亚鞑靼语,Crimean Tatar
克罗地亚语,Croatian
捷克语,Czech
迪维希语,Divehi
荷兰语,Dutch
Dzongkha 语,Dzongkha
法语,French
意大利 Friulian 方言,Friulian
富拉尼语,Fula
加利西亚语,Galician
乔治亚语,Georgian
德语,German
希腊语,Greek
巴拉圭语,Guarani
古吉拉特语,Gujarati
希伯来语,Hebrew
匈牙利语,Hungarian
拉丁国际语,Interlingua
伊朗 阿塞拜疆语,Iranian Azerbaijani
意大利语,Italian
哈萨克语,Kazakh
谷美尔语,Khmer
刚果语,Kikongo
吉尔吉斯语,Kirghiz
朝鲜语,Korean
老挝语,Lao
拉丁语,Latin
拉脱维亚语,Latvian
荷兰 Limburgian 语,Limburgian
立陶宛语,Lithuanian
低地德语,Low German
马来亚语,Malay
马拉雅拉姆语,Malayalam
马恩岛语,Manx
毛利语,Maori
马拉地语,Marathi
蒙古语,Mongolian
那不勒斯语,Neapolitan
尼泊尔语,Nepali
南非北部梭托语,Northern Sotho
法国 Occitan 方言,Occitan
奥里雅语,Oriya
旁遮普语,Punjabi
凯楚亚语,Quechua
罗马尼亚语,Romanian
塞尔维亚语,Serbian
萧伯纳文字,Shavian
僧伽罗语,Sinhala
斯洛伐克语,Slovak
斯洛文尼亚语,Slovenian
索马里语,Somali
斯瓦希里语,Swahili
塔加路族语,Tagalog
塔吉克语,Tajik
坦米尔语,Tamil
鞑靼语,Tatar
泰卢固语,Telugu
泰语,Thai
藏语,Tibetan
土库曼语,Turkmen
维吾尔语,Uighur
乌克兰语,Ukrainian
乌兹别克语,Uzbek
瓦龙语,Walloon
约鲁巴语,Yoruba
祖鲁语,Zulu
伊博语,Igbo
挪威 Bokmål 书面语,Norwegian Bokmål
塞尔维亚 Jekavian 语,Serbian Jekavian
塞尔维亚拉丁语,Serbian Latin
文档,Documentation
动态内容,Dynamic content
示例应用 ： 影片管理器,Example App : Film manager
示例应用 ： 项目管理器,Example App : Project manager
静态内容,Static content
电池充电监视器手册,Battery Charge Monitor Manual
Blackjack 手册,Blackjack Manual
字符盘手册,Character Palette Manual
时钟小程序手册,Clock Applet Manual
CPU 频率范围监视器手册,CPU Frequency Scaling Monitor Manual
FDL 许可证书,FDL Licence
GPL 许可证书,GPL Licence
LGPL 许可证书,LGPL Licence
字典手册,Dictionary Manual
字符-图标滤镜,alpha-to-logo filter
动画滤镜,animation filter
模糊滤镜,blur filter
复合滤镜,combine filter
增强滤镜,enhance filter
常规滤镜,generic filter
映射滤镜,map filter
网络滤镜,web filter
快速参考,Quick Reference
五子棋手册,Five or More Manual
四子连线手册,Four-in-a-row Manual
CD 播放器手册,CD Player Manual
