src,tgt
フォント名,Font Name
フォントのDPI,Font DPI
フォントのヒンティング,Font Hinting
フォントのヒンティングスタイル,Font Hint Style
ステージのタイトル,Stage Title
不鮮明なヒンティング,No Clear Hint
列番号,Column Number
行番号,Row Number
列の展張,Column Span
行の展張,Row Span
テキスト,Text
テキストの長さ,Text length
バッファー内の現在のテキストの長さ,Length of the text currently in the buffer
最大長,Maximum length
バッファー,Buffer
テキストのバッファー,The buffer for the text
フォントの色,Font Colour
選択可能,Selectable
利用可能,Activatable
選択色,Selection Colour
選択色の設定,Selection Colour Set
行の折り返し,Line wrap
行揃え,Line Alignment
最大長,Max Length
ループ,Loop
遅延,Delay
方向,Direction
Timeline の方向,Direction of the timeline
繰り返し回数,Repeat Count
間隔,Interval
アニメーション化,Animatable
オブジェクトをアニメーション化する,The animatable object
完了時に削除,Remove on Complete
タイムライン,Timeline
アルファ値,Alpha value
オブジェクト,Object
アルファ,Alpha
アニメーションのタイムライン,The timeline of the animation
深さの初期値,Start Depth
開始角度,Start Angle
初期角度,Initial angle
最終角度,Final angle
X軸の傾き角度,Angle x tilt
Y軸の傾き角度,Angle y tilt
Z軸の傾き角度,Angle z tilt
中心,Centre
回転方向,Direction of rotation
不透明度の開始値,Opacity Start
最初の不透明度レベル,Initial opacity level
最終の不透明度レベル,Final opacity level
開始角度,Angle Begin
X軸の中心,Centre X
Y軸の中心,Centre Y
Z軸の中心,Centre Z
X軸の拡大縮小の起点,X Start Scale
Y軸の拡大縮小の起点,Y Start Scale
色の設定,Colour Set
表面の高さ,Surface Height
サブタイトルの URI,Subtitle URI
サブタイトルのフォント名,Subtitle Font Name
シーク可能,Can Seek
バッファーの補充,Buffer Fill
バッファーの補充レベル,The fill level of the buffer
長方形の色,The colour of the rectangle
頂点の原点,Vertex Source
フラグメントの原点,Fragment Source
状態,State
水平方向の繰り返し,Horizontal repeat
垂直方向の繰り返し,Vertical repeat
フィルターの品質,Filter Quality
ピクセルフォーマット,Pixel Format
Cogl テクスチャー,Cogl Texture
Cogl 質感,Cogl Material
アルファで選択する,Pick With Alpha
選択時にアルファチャネルでアクターの形を作る,Shape actor with alpha channel when picking
デバイスのパス,Device Path
表面,Surface
表面の高さ,Surface height
Pixmap の高さ,Pixmap height
Pixmap の深さ,Pixmap Depth
Cogl のトレーシング,Cogl Tracing
テクスチャースライシングのトレース,Trace Texture Slicing
ジャーナルのトレース,Trace Journal
バッチ処理のトレース,Trace Batching
すべての行列操作をトレースします 。,Trace all matrix manipulation
クリッピングのトレース,Trace clipping
生成するプロファイル,Profile to create
ICC プロファイル生成プログラム,ICC profile creation program
カラーマネジメント,Colour Management
所有者,Owner
オブジェクトパス,Object Path
修飾子printer,Qualifierprinter
種類rgb,Typergb
範囲,Scope
ガンマテーブル,Gamma Table
プロファイル ID,Profile ID
警告,Warning
シリアル,Serial
シート,Seat
デバイスID,Device ID
プリンター,Printer
プロジェクター,Projector
スポット,Spot
アンビエント,Ambient
較正,Calibration
一般的な LCD,LCD Generic
一般的な LED,LED Generic
LCD ホワイト LED,LCD White LED
不明,Unknown
シリアル番号,Serial number
ネイティブ,Native
プロファイルの作成,Create a profile
カラープロファイルの作成,Create a colour profile
カラープロファイルの削除,Remove a colour profile
連絡先のインポート,Import Contact
連絡先のエクスポート,Export Contact
選択してください :,Make a choice :
電話番号,Phone
メール,E-mail
ホームページ,Homepage
私書箱,PO Box
住所,Street
市町村名,City
都道府県,County
携帯,Mobile
仕事,Work
FAX,Fax
画像を開く,Open image
画像なし,No image
グループなし,No Group
新しいファイルを開きます,New file
既存のファイルを開きます,Open file
ファイルを保存します,Save file
選択範囲を切り取ります,Cut
選択範囲をコピーします,Copy
アルファベット :,Alphabet :
ファイルの選択,Select File
フォントの選択,Select Font
フル ・ デモ,Full Demo
デモ ！,Demo !
中央の円 二つの四角,Centre circle
アルファベットの選択,Alphabet Selection
スムージング,Smoothing
アルファベットの向き,Alphabet Default
左から右へ,Left to Right
右から左へ,Right to Left
上から下へ,Top to Bottom
下から上へ,Bottom to Top
制御モード,Control Style
入力デバイス,Input Device
色のスキーム,Colour Scheme
小さいフォント,Small font
大きいフォント,Large font
とても大きいフォント,Very large font
ツールバーを表示する,Show toolbar
アプリのスタイル,Application Style
直接入力型,Direct entry
フルスクリーン型,Full Screen
アプリケーション,Application
アルファベット,Alphabet
表示,View
標準,Normal
大きい,Large
とても大きい,Very Large
安全なマージン,Safety margin
ボックスの大きさ,Box non-uniformity
最大ズーム,Maximum Zoom
右ズームの倍率,Right zoom
標準のコントロール,Normal Control
自動的に調節する,Automatic calibration
バックオフ ・ ボタンを有効にする,Enable backoff button
開始時間,Startup time
ポート :,Port :
Ｘ方向のラベル :,X label :
Ｘ方向の最小値 :,X minimum :
Ｘ方向の最大値 :,X maximum :
Ｙ方向のラベル :,Y label :
Ｙ方向の最小値 :,Y minimum :
Ｙ方向の最大値 :,Y maximum :
ソケット入力,Socket Input
ボタンの表示,Show Button
自動停止,Auto On Stop
文字列を入力して下さい,Enter Text
スクリプト,Script
声を出す,Speak
終了しない,Don 't quit
ヘルプファイルを開けません,Unable to open help file
スクリプト =,Script =
無名イベント,Unknown event
削除しない,Keep event
イベントの削除,Delete event
新規イベント,New event
要点 ：,Summary :
開始,Start
要点,Summary
なし,None
毎日,Every Day
毎週,Every Week
隔週,Every Fortnight
毎月,Every Month
毎年,Every Year
ON ：,On :
エンドレス,Forever
午前,AM
Web 上,On The Web
午後,PM
論理値,Boolean
文字列,String
列挙値,Enumeration
デフォルトにする,Set to Default
スキーマ :,Schema :
デフォルト値 :,Default :
次へ,Next
文章のフォント,Font for text
API ドキュメントの参照,Show API Documentation
ブック :,Book :
ブックpage,Bookpage
ページ,Page
関数,Function
構造体,Struct
マクロ,Macro
列挙子,Enum
Devhelp を終了する,Quit any running Devhelp
検索対象 :,Search in :
次のページに移動します,Go to the next page
拡大,Larger
縮小Devhelp,SmallerDevhelp
Devhelp について,About Devhelp
空のページ,Empty Page
Devhelp について,Devhelp
カテゴリ,Category
口座引き落とし,Direct Debit
差分,Difference
サブカテゴリ,Sub Category
日時,Date
総計,Amount
日時内にエラー,Error in Date
数字内にエラー,Error in Number
サブアカウント,Sub Account
保存,Save
Gnumeric にエクスポート,Export Gnumeric
置き換え,Replace
メインカテゴリ,Major Category
隔週の口座引き落とし,Fortnightly Direct Debit
並び替え,Sort
データをインポート,Import Data
Ekiga ソフトフォン,Ekiga Softphone
インターネットを介して会話します,Talk to people over the Internet
フレーム ・ レート,Frame Rate
氏名,Full name
氏名を入力して下さい,Enter your full name
エコー ・ キャンセレーションを有効にするかどうか,Enable echo cancellation
着信音を演奏する,Play ring tone
TCP ポート番号の範囲,TCP port range
UDP ポート番号の範囲,UDP port range
H.245 のトンネリングを有効にするかどうか,Enable H.245 tunnelling
STUN サーバ,The STUN Server
呼び出しパネルを表示するかどうか,Show the call panel
ズーム率,The zoom value
Jitter バッファの最大値,Maximum jitter buffer
新しい連絡先,New contact
LDAP SASL の応答Challenge,LDAP SASL InteractionChallenge
チャレンジ認証 :,Challenge :
応答,Interact
LDAP のエラー :,LDAP Error :
サブツリー,Subtree
レベル１,Single Level
Ekiga.net のディレクトリ,Ekiga.net Directory
会議室,Conference room
家族,Family
自分自身,Self
グループ名の変更,Rename group
発信,Call
アカウントを再発行する,Recharge the account
ゲートキーパ :,Gatekeeper :
タイムアウト :,Timeout :
アカウントを有効にする,Enable Account
Ekiga.net の SIP アカウントを手に入れる,Get an Ekiga.net SIP account
Ekiga のコールアウトのアカウントを購入する,Get an Ekiga Call Out account
アカウントの ID :,Account ID :
タイムアウトしました,Timeout
競合しています,Conflict
一時的な障害です,Temporarily unavailable
許可できません,Not acceptable
間隔が短すぎます,Interval too brief
許可できません,Not acceptable here
サービスは利用できません,Service unavailable
サーバの応答がタイムアウトしました,Server timeout
グローバルでは許可できません,Globally not acceptable
着信中です,Incoming call
話中です,In a call
書き込み可否 :,Writeable :
ドキュメントのルート,Document root
書き込み可否,Writeable
同期する,Click to fetch
氏名,Full Name
リンクのコピー,Copy link
アカウント名,Account Name
Ekiga へようこそ,Welcome to Ekiga
Ekiga.net のアカウント,Ekiga.net Account
Ekiga コールアウトのアカウント,Ekiga Call Out Account
接続方法,Connection Type
設定が完了しました,Configuration Complete
SIP の URI,SIP URI
Ekiga のコールアウト,Ekiga Call Out
アートワーク :,Artwork :
ヘルプを表示できません,Unable to open help file .
原因不明のエラーです,Unknown error .
拒否,Reject
受諾,Accept
着信元,Incoming call from
リモートの URI :,Remote URI :
リモートのアプリ :,Remote Application :
発信します,Place a new call
現在の発信を終了します,Terminate the current call
Ekiga の情報を表示します,View information about Ekiga
イベント,Event
テスト,Play
トーン,Tone
着信音のデバイス,Ringing Device
自動,Auto
チャンネル :,Channel :
サイズ :,Size :
形式 :,Format :
画像の品質,Picture Quality
オンライン,Online
地図ビューアー,Map Viewer
Emerillon 地図ビューアー,Emerillon Map Viewer
プログラムを終了します,Quit the program
地図を拡大します,Enlarge the image
地図を縮小します,Shrink the image
拡大,In
縮小,Out
地図情報の提供,Copy link to Web
新しいマーカー,New Placemark
ズーム,Zoom
サービス名,Server
Google トーク,Google Talk
Jabber,Jabber ID
Yahoo !,Yahoo
削除 ボタンをクリックします 。,Click on the Remove button .
優先度,Priority
GNOME ドキュメンテーションプロジェクト,GNOME Documentation Project
2000 年,2000
GNOME ドキュメンテーションチーム,GNOME Documentation Team
GNOME ドキュメンテーションチーム,Sun GNOME Documentation Team
2002 年 7 月,January 2003
2002 年 7 月,July 2002
2002 年 5 月,May 2002
PNM - PPM Toolkit の Portable Anymap,PNM - Portable Anymap from the PPM Toolkit
XBM - X のビットマップ,XBM - X Bitmap
XPM - X のピクセルマップ,XPM - X Pixmap
画像を開く,Opening an Image
画像をスクロールする,Scrolling an Image
画像を開く,Flipping an Image
画像を開く,Rotating an Image
画像を開く,Deleting an Image
画像を開く,Saving an Image
画像を開く,Printing an Image
画像ビューアマニュアル,Image Viewer Manual
2007年2月,February 2007
2004年2月,February 2004
2003年11月,November 2003
2003年9月,September 2003
2002年10月,October 2002
画像ビューアの起動,Starting Image Viewer
画像ビューア,Image Viewer
メニューバー,Menubar
ツールバー,Toolbar
画像のコレクション,Image Collection
ファイルマネージャや他のアプリケーションで画像ファイルをダブルクリックしてください 。,Double-click on an image file in the file manager or other application .
拡大 ・ 縮小,Zooming
画像 印刷 を選択してください 。,Select File Print
ページ上の画像の配置,Arranging an Image on the Page
画像の表示,Image View
シーケンス,Sequence
ANI - アニメーション,ANI - Animation
法的情報,Image Information Pane
マップ,Map
露出時間 :,Expo . Time :
レンズ径 :,Aperture :
ズーム :,Zoom :
測光方式 :,Metering :
ログイン中 ...,Logging in …
ファイル,File
全てキャンセル,Cancel All
エラーメッセージの色,Error Text Colour
Epiphany オートメーション,Epiphany automation
クッキーの受諾,Cookie accept
デフォルトのフォントの種類,Default font type
Java を許可する,Enable Java
JavaScript を使用する,Enable JavaScript
ホーム ・ ページ,Home page
MD5 指紋 :,MD5 Fingerprint :
SHA1 指紋 :,SHA1 Fingerprint :
シリアル番号 :,Serial Number :
コンテンツ,Web Content
Mバイト,MB
用紙,Paper
印刷の設定,Print Setup
残り,Remaining
ウクライナ語,Ukrainian
このファイルを開きまか ？,Open a file
ファイルの所在を確認してもう一度実行して下さい 。 www.example.com,www.example.com
単位 :,Unit :
証明書の一部ではありません,Not part of certificate
秘密鍵を生成しています 。,Generating Private Key .
セキュリティの通知,Security Notice
セキュリティの警告,Security Warning
印刷,Print
区切り,Separator
その他のスクリプト,Thai
新しいトピックを作成します,Create a new topic
タイトルのカラムのみ表示します,Show only the title column
トピックを入力して下さい,Type a topic
ファイルの種類 :,File format :
ウェブの検索,Search the web
娯楽,Entertainment
買い物,Shopping
旅行,Travel
移動,Go
空のページ,Blank page
前に戻ります,Go back
上へ,Up
一つ上のレベルへ移動します,Go up one level
ホーム ・ ページへ戻ります,Go to the home page
新しいタブを開きます,Open a new tab
このページを保存します,Save the current page
印刷プレビューを表示します,Print preview
このページを印刷します,Print the current page
ページ全体を選択します,Select the entire page
次のタブを開きます,Activate next tab
このタブを左へ移動します,Move current tab to left
このタブを右へ移動します,Move current tab to right
このタブを取り外します,Detach current tab
キャレットで選択,Selection Caret
新しいタブの中にリンク先を開きます,Open link in a new tab
ブックマーク,Bookmark
壊れています,Broken
ドメイン,Domain
コンテンツ :,Content :
全ての接続,Any type of connection
次のページへ移動します,Go to next page
Epiphany マニュアル,Epiphany Manual
Epiphany 開発チーム,Epiphany Development Team
Epiphany ツールバーから,From the Epiphany toolbar
コンポーネント,Component
ビューペイン,View pane
新しいタブを開く,To Open a New Tab
ファイルを開く,To Open a File
ページをファイルに保存,To Save a Page to a File
用紙のサイズ,Paper Size
印刷,To Print a Page
拡大 ・ 縮小表示,To Change the Zoom Factor
ウェブページのテキストを拡大,To enlarge the text in a web page
ページのソースを表示,To View the Source of a Page
リンク先を新しいタブで開く,To open a link in a new tab
新しいブックマークをつくる,To Create a New Bookmark
ブックマークまたはトピックを選択,Select a bookmark or topic
ブックマークまたはトピックをクリック,Click on the bookmark or topic .
開きたいブックマークを選択,Select the bookmark that you want to open .
新しいトピックの作成,To Create a New Topic
