en_GB,es,ja,zh_CN,zh_TW,en_US
4 . MODIFICATIONS,4. MODIFICACIONES,,,,4 . MODIFICATIONS
4 . Margin,4. Márgen,4 . 余白,3 . 页边,4 . 邊距,4 . Margin
4 February 2000,,,2000年2月4日,,4 February 2000
4 GB,4 GiB,,,,4 GB
4 x 6 in .,4 × 6 pulg .,,4 x 6 英寸,4 x 6 英吋,4 x 6 in .
4-channel,,4 チャンネル,4 声道,4-聲道,4-channel
40-bit WEP,,40-ビット WEP,40 位 WEP,40 位元 WEP,40-bit WEP
480 px,,,480 像素,,480 px
4th,4º,,第 4 个,,4th
5 . COMBINING DOCUMENTS,5. COMBINAR DOCUMENTOS,,,,5 . COMBINING DOCUMENTS
5 December 2006,,,2006年12月5日,,5 December 2006
5 February 2000,,,2000年2月5日,,5 February 2000
5 MB,5 MiB,,,,5 MB
5 October 5 2006,,,2006 年 10 月 5 日,,5 October 5 2006
5 x 7 in .,5 × 7 pulg .,,5 x 7 英寸,5 x 7 英吋,5 x 7 in .
500 KB,500 KiB,,,,500 KB
5th,5º,,第 5 个,,5th
6 . COLLECTIONS OF DOCUMENTS,6. COLECCIONES DE DOCUMENTOS,,,,6 . COLLECTIONS OF DOCUMENTS
6 . Margin,6. Margen,6 . 余白,6 . 页边,6 . 邊距,6 . Margin
64 bit float :,,64ビット浮動小数点 :,64 位浮点数 ：,,64 bit float :
64-bit,,,64 位,64 位元,64-bit
64-bitunit-format,,,,64 位元unit-format,64-bitunit-format
640 px,,,640 像素,,640 px
7 . AGGREGATION WITH INDEPENDENT WORKS,7. AGREGACIÓN CON TRABAJOS INDEPENDIENTES,,,,7 . AGGREGATION WITH INDEPENDENT WORKS
7 April 2000,,,2000年4月7日,,7 April 2000
7 February 2000,,,2000年2月7日,,7 February 2000
7-Zip archive,,7-Zip書庫,7-Zip 归档格式,7-Zip 壓縮檔,7-Zip archive
7-zip archive,,7-zip アーカイブ,7-zip 归档文件,7-zip 封存檔,7-zip archive
8 . TRANSLATION,8. TRADUCCIÓN,,,,8 . TRANSLATION
8 or more,,,8 或更多,,8 or more
8 x 10 in .,8 × 10 pulg .,,8 x 10 英寸,8 x 10 英吋,8 x 10 in .
8-bit,,,,8 位元,8-bit
800 px,,,800 像素,,800 px
8k Phone,,8k 電話,,,8k Phone
9 . TERMINATION,9. TERMINACIÓN,,,,9 . TERMINATION
9th,9º,,第 9 个,,9th
"A , 2 , 4 , 8 , 3 , 6 , Q , J , 9 , 5 , 10 , 7 , repeat …","A , 2 , 4 , 8 , 3 , 6 , Q , J , 9 , 5 , 10 , 7 , repetir ...",,,,"A , 2 , 4 , 8 , 3 , 6 , Q , J , 9 , 5 , 10 , 7 , repeat …"
A : # x2003 ;,R:#x2003 ;,,答 ：,,A : # x2003 ;
A ACUTE,A CON TILDE,,,,A ACUTE
A Bakery XML example .,,,Bakery XML 示例 。,,A Bakery XML example .
A Bakery example,,,A Bakery 示例,,A Bakery example
A Bakery example .,,,Bakery 示例 。,,A Bakery example .
A Brief Tutorial,Un tutorial breve,簡単な演習,,,A Brief Tutorial
A CIRCUMFLEX,A CIRCUNFLEJA,,,,A CIRCUMFLEX
A Coruña,La Coruña,,阿拉科鲁尼亚,拉科魯納,A Coruña
"A Coruña , Spain",,,拉科鲁尼亚 ， 西班牙,,"A Coruña , Spain"
A GNOME Tetravex Game,Un juego Tetravex,,,,A GNOME Tetravex Game
A GNOME Tetravex Game .,Un juego Tetravex .,,,,A GNOME Tetravex Game .
A GNOME Web Blogging Applet,,GNOME ウェブ ・ ログ投稿アプレットです 。,一个 GNOME Web Blogging 小程序,GNOME 網誌撰寫面板程式,A GNOME Web Blogging Applet
A PalmOS PDA monitor .,,PDA モニター,PalmOS PDA 监视器 .,PalmOS PDA 監視器 。,A PalmOS PDA monitor .
A RING,A CON CÍRCULO,,,,A RING
A Script-Fu Tutorial,,Script-Fu 作成演習,,,A Script-Fu Tutorial
A Single Import Roll,,,单一导入清单,單一的匯入膠卷,A Single Import Roll
A TILDE,A CON TILDE,,,,A TILDE
A Tetrinet client for GNOME .,Un cliente Tetrinet para GNOME .,GNOME 用 Tetrinet クライアント,,適用於 GNOME 的俄羅斯方塊遊戲 。,A Tetrinet client for GNOME .
A Turing machine,,,一个图灵机,GNOME 的 Turing Machine,A Turing machine
A Turing machine for GNOME,,,GNOME 的一个图灵机,GNOME 的 Turing Machine,A Turing machine for GNOME
A UMLAUT,A CON DIÉRESIS,,,,A UMLAUT
A VNC client for GNOME,Un cliente VNC para GNOME,,一个 GNOME 下的 VNC 客户端,GNOME 的 VNC 客戶端程式,A VNC client for GNOME
A Wave frame,,波 適用後のコマ,,,A Wave frame
A YelpUri with the current location,Un YelpUri con la ubicación actual,現在位置の YelpUri,表示当前位置的 YelpUri,YelpUri 目前的位置,A YelpUri with the current location
A community,,,一个社区,,A community
A flag to enable the toolbar,,ツールバーを表示するかどうか,,,A flag to enable the toolbar
A logo for the about box,,情報ダイアログのロゴです,用于关于对话框的徽标,顯示程式資訊的對話方塊中所顯示的標誌,A logo for the about box
A map application for GNOME,,GNOME 向け地図アプリケーション,一款 GNOME 地图应用程序,GNOME 的地圖程式,A map application for GNOME
A name for the action group .,,アクション ・ グループの名前です,动作组的名称 。,該指令集的名稱,A name for the action group .
A new GNOME 3 application in the making .,,開発中の新しい GNOME 3 アプリケーション 。,制作中的新 GNOME 3 应用程序 。,,A new GNOME 3 application in the making .
A new image,Una imagen nueva,白紙の画像,,,A new image
A newer,,,较新的,較新的,A newer
A note taking application,,メモを取るアプリケーションです 。,一个记便笺应用程序,筆記程式,A note taking application
A note-taking application,,,一个笔记程序,用來做筆記的應用程式,A note-taking application
A photo manager for GNOME,,,GNOME 的照片管理器,GNOME 相片管理程式,A photo manager for GNOME
A pointer to the GOStyle object,Un puntero al objeto GOStyle,,指向 GOStyle 对象的指针,,A pointer to the GOStyle object
A unique name for the action .,Un nombre único para la acción .,アクションに固有の名称です,动作的唯一名称 。,這個指令的特定名稱 。,A unique name for the action .
A unique number,Un único número,,,一個獨特的號碼,A unique number
A weather application,,天気アプリケーション,一款天气应用,天氣應用程式,A weather application
A-M,,,,A 至 M,A-M
A-MOther,,,,A 至 MOther,A-MOther
AAM Level,Nivel AAM,,,AAM 層級,AAM Level
ABOUT NO STARCH PRESS,,,关于No Starch 出版社,,ABOUT NO STARCH PRESS
ABOUT THE AUTHOR,,,关于作者,,ABOUT THE AUTHOR
ABOUT THE GNOME FOUNDATION,,,关于GNOME基金会,,ABOUT THE GNOME FOUNDATION
ABOUT THE TRANSLATOR,,,关于译者,,ABOUT THE TRANSLATOR
ACE archive,,ACE アーカイブ,ACE 归档文件,ACE 封存檔,ACE archive
ADDITIONAL RESOURCES,,,附加资源,,ADDITIONAL RESOURCES
ADDRESS,DIRECCIÓN,アドレス,地址,地址,ADDRESS
AFFS Volume,Volumen AFFS,AFFS ボリューム,AFFS 卷,AFFS 檔案系統,AFFS Volume
AFS Network Volume,,AFS ネットワーク ・ ボリューム,AFS 网络卷,AFFS 網路檔案系統,AFS Network Volume
AGGREGATION WITH INDEPENDENT WORKS,AGREGACIO N CON TRABAJOS INDEPENDIENTES,,独立作品的聚集,,AGGREGATION WITH INDEPENDENT WORKS
ALSA mixer element,,ALSA ミキサーのエレメント,ALSA 混音器元件,ALSA 混音程式元件,ALSA mixer element
ALZip archive,,ALZip書庫,ALZip 归档格式,ALZip 壓縮檔,ALZip archive
AM,a.m.,午前,上午,上午,AM
ANI - Animation,ANI : Animación,ANI - アニメーション,ANI - 动画,,ANI - Animation
ANIM animation,animación ANIM,ANIM アニメーション,ANIM 动画,ANIM 動畫,ANIM animation
API Documentation,,,API 文档,API 文件,API Documentation
API key,,,API 键,API 設定鍵,API key
APM Level,Nivel APM,,,APM 層級,APM Level
APPLICABILITY AND DEFINITIONS,APLICACIO N y DEFINICIONES,,效力与定义,,APPLICABILITY AND DEFINITIONS
APPLICATIONS,APLICACIONES,,,,APPLICATIONS
APPS,,,,程式,APPS
AR archive,,AR アーカイブ,AR 归档文件,AR 封存檔,AR archive
ARC archive,,ARC アーカイブ,ARC 归档文件,ARC 封存檔,ARC archive
ARCHIVE,ARCHIVADOR,書庫,归档文件,壓縮檔,ARCHIVE
ARJ archive,,ARJ書庫,ARJ 归档格式,ARJ 壓縮檔,ARJ archive
ASCII,,文字,,,ASCII
ASCII DEL,ASCII para Supr .,,,,ASCII DEL
ASP Object,Objeto ASP,ASP オブジェクト,对象,ASP 物件,ASP Object
ASP page,página ASP,ASP ページ,ASP 页面,ASP 頁面,ASP page
AT-SPI2 cache policy,,,AT-SPI2缓存策略,,AT-SPI2 cache policy
ATA Drive,,ATA ドライブ,,ATA 磁碟機,ATA Drive
AUTHFILE,ARCHIVO-DE-AUTORIZACIÓN,,验证文件,認證檔案,AUTHFILE
AVG Height,,,平均身高,,AVG Height
Aachen,,アーヘン,,亞琛,Aachen
Aalborg,,オールボルグ,奥尔堡,阿爾堡,Aalborg
Abakan,,アバカン,阿巴坎,亞巴坎,Abakan
AbakanАдлер,Abakan,アバカンАдлер,阿巴坎Адлер,亞巴坎Адлер,AbakanАдлер
Abalakov Jump,Salto Abalakov,,,,Abalakov Jump
Abbeville,,アブビル,阿布维尔,亞布維,Abbeville
Abbreviation,,簡略化単位,,,Abbreviation
Abeche,,アベシェ,,阿貝希,Abeche
Abha,,アブハー,艾卜哈,阿巴,Abha
Abilene,,アビリーン,艾比利尼,亞伯林,Abilene
Abilene Regional Airport,"Abilene , aeropuerto regional",,,,Abilene Regional Airport
Abong-Mbang,,,,阿朋木邦,Abong-Mbang
Abort,Abortar,停止,中止,不正常中止,Abort
Abort login,,ログインしない,终止登录,取消登入,Abort login
Aborting ...,,設定 ...,正在连接 ...,放棄 ...,Aborting ...
About,,このプラグインについて,关于,關於,About
About BAUM Retec AG,,,关于 BAUM Retec AG,,About BAUM Retec AG
About Banter,,,关于 Banter,,About Banter
About Blackjack,Blackjack,,,,About Blackjack
About Blam,,情報,关于 Blam,,About Blam
About Calculator,,,,關於計算機,About Calculator
About Devhelp,,Devhelp について,关于 Devhelp,,About Devhelp
About Dictionary,,このアプリケーションについて,关于字典,關於 Dictionary,About Dictionary
About Epiphany,Epiphany,Epiphany について,关于 Epiphany,,About Epiphany
About Flumotion,,,关于Flumotion,,About Flumotion
About Font Viewer,,このアプリケーションについて,关于字体查看器,關於字型檢視器,About Font Viewer
About GHex,,このアプリケーションについて,关于 GHex,,About GHex
About GIMP FreeType,,GIMP FreeType について,关于 GIMP FreeType,關於 GIMP FreeType,About GIMP FreeType
About GNOME,,GNOME について,关于 GNOME,關於 GNOME,About GNOME
About GNOME Software,,このアプリケーションについて,关于软件,關於 Software,About GNOME Software
About GUADEC,,,关于GUADEC,,About GUADEC
About Galeon,,このアプリケーションの情報を表示します,关于 Galeon,關於 Galeon,About Galeon
About Gnac,,,关于 Gnac,,About Gnac
About Gnote,,このアプリケーションについて,关于 Gnote,關於Gnote,About Gnote
About Hitori,Hitori,,关于 Hitori,,About Hitori
About LogOn,,,关于LogOn,,About LogOn
About Nokia,,,关于诺基亚,,About Nokia
About Same GNOME,,,关于 消色块 小游戏,,About Same GNOME
About Scalix,,,关于 Scalix,,About Scalix
About Stuttgart Region Development Corporation,,,关于斯图加特地区发展公司,,About Stuttgart Region Development Corporation
About Time Tracker,,タイム ・ トラッカーについて,关于时间追踪器,關於時間追蹤程式,About Time Tracker
About Tomboy,,Tomboy について,关于阿帖,關於 Tomboy,About Tomboy
About Totem Movie Player,,Totem 動画プレイヤー について,关于 Totem 电影播放器,關於 Totem 影片播放器,About Totem Movie Player
About Weather,,このアプリケーションについて,关于天气,關於 Weather,About Weather
About library.gnome.org,,,关于 library.gnome.org,,About library.gnome.org
About regexxer,,regexxer について,关于 regexxer,關於 regexxer,About regexxer
About the GNOME Panel,,GNOME パネルについて,关于 GNOME 面板,關於 GNOME 面板,About the GNOME Panel
About the application,,このアプリケーションについて,关于应用程序,關於此應用程式,About the application
About the gpilot-fileman,,,,關於 gpilt-fileman,About the gpilot-fileman
About zenity,,Zenity について,关于 zenity,關於 zenity,About zenity
About …,,このアプリケーションについて ...,关于 ...,關於 ...,About …
Abu Dhabi,,アブダビ,阿布扎比,阿布達比,Abu Dhabi
Abu Dhabi - Bateen,,アブダビ ・ バティーン,阿布扎比 - Bateen,阿布達比 - Bateen,Abu Dhabi - Bateen
Abu Dhabi Bateen Airport,"Abu Dhabi Bateen , aeropuerto",,,,Abu Dhabi Bateen Airport
Abu Dhabi International Airport,"Abhu Dhabi , aeropuerto internacional",,,,Abu Dhabi International Airport
Acajutla,,アカフトラ,,阿卡胡特拉,Acajutla
Acapulco,,アカプルコ,阿卡普尔科,亞加普科,Acapulco
Acarigua,,アカリグア,,阿卡里瓜,Acarigua
AcariguaCity in Venezuela,,アカリグアCity in Venezuela,阿卡里瓜City in Venezuela,阿卡里瓜City in Venezuela,AcariguaCity in Venezuela
Acc,,桁数,,,Acc
Accel Group,,アクセラレータのグループ,加速组,捷徑鍵群組,Accel Group
Accel Path,,アクセラレータのパス,加速路径,捷徑鍵路徑,Accel Path
Acceleration,Aceleración,,,,Acceleration
Accelerator,,アクセラレータ,加速器,捷徑鍵,Accelerator
Accelerator Group,,アクセラレータのモード,快捷键组,捷徑鍵群組,Accelerator Group
Accelerator key,,アクセラレータ ・ キー,加速键基本键,捷徑鍵,Accelerator key
Accelerator to move the current tab to the left .,,現在開いているタブを左へ移動するアクセラレータ,将当前标签页左移的加速键 。,分頁向左移動的捷徑鍵 。,Accelerator to move the current tab to the left .
Accelerator to move the current tab to the right .,,現在開いているタブを右へ移動するアクセラレータ,将当前标签页右移的加速键 。,分頁向左移動的捷徑鍵 。,Accelerator to move the current tab to the right .
Accept,Aceptar,受諾,接受,,Accept
Accept :,Aceptar :,,接受 ：,,Accept :
Accept Cookie ?,,,接受 Cookie 吗 ？,是否接受 Cookie ？,Accept Cookie ?
Accept EULA,Aceptar CLUF,EULA を承認,,接受終端使用者授權條款協議,Accept EULA
Accepting EULA,,EULAの同意作業中,正在接受最终用户许可协议,正在接受終端使用者授權條款協議,Accepting EULA
Account,Cuenta,アカウント,帐户,帳號,Account
Account :,Cuenta :,アカウント :,账户 ：,,Account :
Account ID :,,アカウントの ID :,,,Account ID :
Account Information,,アカウントの情報 ...,帐号信息,帳號資訊,Account Information
Account Information …,,アカウントの情報 ...,账户信息 ...,帳號資訊 ...,Account Information …
Account Management,,,账号管理,,Account Management
Account Name,,アカウント名,,,Account Name
Account Name :,,,账号名称 ：,,Account Name :
Account activation,,,帐户激活,帳號啟用程序,Account activation
Account name,,,账号名称,,Account name
Accounting,Financiero,会計,会计,會計,Accounting
Accra,,アクラ,阿克拉,阿克拉,Accra
AccraCity in Gibraltar,,アクラCity in Gibraltar,阿克拉City in Gibraltar,阿克拉City in Gibraltar,AccraCity in Gibraltar
Accuracy Level :,,,准确程度 ：,,Accuracy Level :
Accuracy value,,将来価値の算出,,準確度數值,Accuracy value
Accurate,,高精度,精确,精確,Accurate
Acer AirKey V,,,,宏碁 AirKey V,Acer AirKey V
Acetone,Acetona,アセトン,丙酮,丙酮,Acetone
Achum,,,,奧士,Achum
Acon,,アコン,阿孔,阿空,Acon
Acquiring Preview,,,,擷取預覽,Acquiring Preview
Acre,,アクレ,阿克里州,阿克雷,Acre
Acrophobia,Acrofobia,,恐高症,,Acrophobia
Action,Acción,アクション,操作,動作,Action
Action :,Acción :,アクション :,动作 ：,動作 ：,Action :
Action Group,,アクション ・ グループ,动作组,指令集,Action Group
Action button type,,アクション ・ ボタンの種類,动作按钮类型,行動按鈕的類型,Action button type
Action example of Filter Length on blur,,ぼかし用途でのフィルター長の活用例,,,Action example of Filter Length on blur
Action on title bar right-click,,,右键点击标题栏动作,右擊標題列代表的動作,Action on title bar right-click
ActionScript,,スクリプト,脚本,,ActionScript
Activatable,Activable,利用可能,可激活,可啟用,Activatable
Activate,Activar,有効にする,激活,使用,Activate
Activate Dialog,,コマンドの呼び出し方,,,Activate Dialog
"Activate a button , link or other control .","Activa un botón , enlace u otro control .",,,,"Activate a button , link or other control ."
Activate next tab,,次のタブを開きます,激活下个标签,啟用下一個分頁,Activate next tab
Activate on Single Click,,,单击激活,單擊即使用,Activate on Single Click
Activate the Dialog,,ダイアログの呼び出し方,,,Activate the Dialog
Activate the Logical Volume,Activar el volumen lógico,論理ボリュームを開始,激活逻辑卷,使用邏輯儲存區,Activate the Logical Volume
Activate the Submenu,Activar el Submenú,サブメニューへの入り方,,,Activate the Submenu
Activate the filter,Activar el filtro,フィルターの呼び出し方,,,Activate the filter
Activating the Dialog,,ダイアログの呼び出し方,,,Activating the Dialog
Activating the Tool,Activar la herramienta,呼び出し方,,,Activating the Tool
Activating the filter,Activar el filtro,フィルターの呼び出し方,,,Activating the filter
Activation,Activación,フィルターの呼び出し方,激活,啟用,Activation
Activationtab,,,激活tab,啟用tab,Activationtab
Active,Activo,有効,活动,使用,Active
Active Channel :,Canal activo,アクティブなチャンネル :,,,Active Channel :
Active Chart,Gráfico activo,アクティブなチャート,活动图,使用圖表,Active Chart
Active Connection Information,,有効な接続情報,活动连接信息,使用中的連線資訊 ：,Active Connection Information
Active Image Area,,現在の画像の区画,,,Active Image Area
Active Image in the Toolbox,,ツールボックス上に示された現在活性化している画像,,,Active Image in the Toolbox
Active Link Colour,,アクティブなリンクの色,激活链接颜色,使用中連結的色彩,Active Link color
Active Path :,Ruta activa,アクティブなパス : 実装されておらず使用できません 。,,,Active Path :
Active Text,Texto activo,選択状態のラベル,活动文本,使用中的文字,Active Text
Active backup,,アクティブバックアップ,热备,啟用備份,Active backup
Active image area,,現在の画像の区画,,,Active image area
Active item,Elemento activo,有効な項目,激活项,啟用項目,Active item
Active layer :,Capa activa,アクティブなレイヤー : 活性化しているレイヤーを目標として整列します 。,,,Active layer :
Active level :,Nivel activo :,アクティブレベル :,,平均等級 ：,Active level :
Active tick button,,,激活的复选按钮,,Active tick button
Active toggle button,Botón conmutable activo,,激活的切换按钮,,Active toggle button
Activity,,アクティビティ,活动,活動,Activity
Activity :,,アクティビティ :,活动 ：,活動 ：,Activity :
Activity Log,,,活动日志,活動日誌,Activity Log
Activity Step,,動作ステップ,活动步进,活動步驟,Activity Step
Actor,,,角色,參與者,Actor
Actual Size,Tamaño actual,実サイズに戻します,实际大小,實際尺寸,Actual Size
Actual practice,Práctica real,実践編,,,Actual practice
Aeroparque,,アエロパルケ,,國內機場,Aeroparque
Affect :,Afectar,対象,,,Affect :
Affiliation,Afiliación,関連項目,隶属,履歷,Affiliation
Affine,Afín,,仿射,,Affine
Affirmative Button Mnemonic,,確認ボタンのニーモニック,帮助记忆的确定键,左右手滑鼠模式,Affirmative Button Mnemonic
Affluent,Opulento,,,,Affluent
Africa,África,アフリカ,非洲,非洲,Africa
AfricaRegion,ÁfricaRegion,アフリカRegion,非洲Region,非洲Region,AfricaRegion
After,,次より後,在指定时间之后,在指定時間之後,After
After glow,,発光の残像,,,After glow
Afyon,,アフヨン,,阿夫永,Afyon
Agana,,アガニャ,阿加尼亚,阿加耶,Agana
Agartala,,アガルタラ,,阿加塔拉,Agartala
Agartalaआगरा,Agartala,アガルタラआगरा,阿加尔塔拉आगरा,阿加爾塔拉आगरा,Agartalaआगरा
Age,,,年龄,,Age
Agen,,アジャン,阿根,亞仁,Agen
Aghajariاهواز,Aghajari,アガジャリاهواز,阿哈加里اهواز,,Aghajariاهواز
Agoncillo,,,亚刚西利欧,亞剛西利歐,Agoncillo
Agoraphobia,Agorafobia,,旷野恐惧症,,Agoraphobia
Agra,,アグラ,阿格拉,亞格拉,Agra
Agreement,,同意書,协议,同意書,Agreement
Agrinio,,アグリニオン,,阿格林永,Agrinio
Ahtari,,エヒテリン,,阿塔里,Ahtari
Ahvazاردبيل,Ahvaz,アフワーズاردبيل,阿瓦士اردبيل,阿瓦士اردبيل,Ahvazاردبيل
Ahwaz,,アフワーズ,阿瓦士,阿瓦士,Ahwaz
Air,Aire,,航线,,Air
Aircraft,Aeronave,,,,Aircraft
Airflow Temperature,,,气流温度,氣流溫度,Airflow Temperature
Airlake,,,气湖,,Airlake
Airlake Airport,"Airlake , aeropuerto",Airlake 空港,气湖机场,,Airlake Airport
Airline,Compañía aérea,,航线,,Airline
Airport,Aeropuerto,空港,机场,機場,Airport
Aitkin,,,,愛肯,Aitkin
Aix-en-Provence,Provenza,,,普羅旺斯地區艾克斯,Aix-en-Provence
Ajaccio,,アジャクシオ,阿雅克修,阿雅秀,Ajaccio
Ajo,,,,阿何,Ajo
Akeno Ab,,明野基地,,明野空軍基地,Akeno Ab
Akita,,秋田,秋田,秋田,Akita
Akjoujt,,,,阿克柔特,Akjoujt
Aklavik,,アクラビク,阿克拉维克,阿克拉維克,Aklavik
Akola,,アコラ,阿克拉,阿科拉,Akola
Akron,,アクロン,阿克伦城,亞克朗,Akron
"Akron , Akron Fulton International Airport","Akron , aeropuerto internacional Akron Fulton","アクロン , アクロン ・ フルトン国際空港",阿克伦富尔顿国际机场,亞克朗 ， 亞克朗富爾頓國際機場,"Akron , Akron Fulton International Airport"
Akron Fulton International Airport,"Akron , aeropuerto internacional Akron Fulton",,,,Akron Fulton International Airport
Akron-Canton Regional Airport,"Akron-Canton , aeropuerto regional",,,,Akron-Canton Regional Airport
Akrotiri,,アクロティリ,阿科罗提利,阿克羅帝利半島,Akrotiri
Aktau,,,,阿克套,Aktau
Aktion,,,,亞克興角,Aktion
Akulivik,,,,阿庫裡維克,Akulivik
Akureyri,,アークレイリ,阿库雷里,亞庫來利,Akureyri
Al ' Aqabah,Aqaba,アル ・ アカバ,亚喀巴,亞喀巴,Al ' Aqabah
Al ' Aqiq,Aquiq,アル ・ アキク,阿基克,阿奎克,Al ' Aqiq
Al ' Ayn,Al Ain,アル ・ アイン,艾因,亞恩,Al ' Ayn
Al Ain,,アル ・ アイン,,艾因,Al Ain
Al Baha,,アル ・ バーハ,,巴哈,Al Baha
Al FujayrahDubaiDubayy,FujairaDubaiDubayy,アル ・ フジャイラDubaiDubayy,富查伊拉DubaiDubayy,富查伊拉DubaiDubayy,Al FujayrahDubaiDubayy
Al Hoceima,,ホセイマ,胡塞马,胡塞馬,Al Hoceima
Al JizahAmman 'Amman,Al JizahAmman'Amman,ギザAmman 'Amman,吉宰Amman 'Amman,吉薩Amman 'Amman,Al JizahAmman 'Amman
Al Qurayyat,,グライヤト,亚特,古賴亞特,Al Qurayyat
Al Wajh,,ワジュ,沃季赫,吉薩,Al Wajh
Al-Jouf,,アル ・ ジョーフ,,昭夫,Al-Jouf
