zh-CN,en-US,ja-JP,ko-KR,fr-FR,es-ES,de-DE
永远,Forever,永遠,영원,Toujours,Para siempre,Für immer
瞬间,Moment,瞬間,순간,Moment,Momento,Augenblick
永恒,Eternal,永遠,영원,Éternel,Eterno,Ewig
宇宙,Universe,宇宙,우주,Univers,Universo,Universum
世界,World,世界,세계,Monde,Mundo,Welt
自然,Nature,自然,자연,Nature,Naturaleza,Natur
生命,Life,生命,생명,Vie,Vida,Leben
人类,Human,人間,인간,Humano,Ser humano,Mensch
社会,Society,社会,사회,Société,Sociedad,Gesellschaft
家庭,Home,家庭,가정,Hogar,Hogar,Haushalt
社区,Community,コミュニティ,공동体,Communauté,Comunidad,Gemeinschaft
国家,Country,国家,나라,Pays,País,Land
民族,Nation,民族,민족,Nación,Nación,Nation
地球,Earth,地球,지구,Terre,Tierra,Erde
海洋,Ocean,海洋,해양,Océano,Ozeano,Ozean
天空,Sky,天空,하늘,Ciel,Ciel,Himmel
夜晚,Night,夜,밤,Nuit,Noche,Nacht
白天,Day,昼,낮,Jour,Día,Tag
光芒,Light,光,빛,Lumière,Luz,Licht
阴影,Shadow,影,그림,Ombre,Sombra,Schatten
色彩,Color,色,색,Couleur,Color,Farbe
声音,Sound,音,소니드,Sonido,Sonido,Klang
寂静,Silence,静寂,고요,Silencio,Silencio,Stille
喧嚣,Noise,騒音,소음,Ruido,Ruido,Lärm
宁静,Tranquility,静け,평온,Tranquillidad,Tranquilidad,Ruhe
繁华,Bustling,賑やか,번잡,Burbujeo,Bullimiento,Trubel
孤独,Lonely,孤独,외로움,Solitude,Soledad,Einsamkeit
陪伴,Companionship,付き合い,동반,Compagnie,Compañía,Begleitung
理解,Understand,理解,이해,Comprendido,Entendido,Verständnis
包容,Include,含む,포함,Inclut,Incluido,Einschließen
接受,Accept,受け入る,받어하다,Aceptar,Aceptar,Annehmen
拒绝,Reject,拒否,거절하다,Rechazar,Rechazar,Ablehnen
选择,Choose,選ぶ,선택하다,Choisir,Elegir,Wählen
决定,Decide,決める,결정하다,Decidir,Decidir,Entscheiden
判断,Judge,判断する,판단하다,Juger,Juzgar,Beurteilen
分析,Analyze,分析する,분석하다,Analizar,Analizar,Analysieren
评估,Evaluate,評価する,평가하다,Évaluer,Valorar,Evaluieren
总结,Summarize,まとめる,요약하다,Résumer,Resumir,Zusammenfassen
计划,Plan,計画する,계획하다,Planear,Planear,Planen
准备,Prepare,準備する,준비하다,Preparar,Preparar,Vorbereiten
执行,Execute,実行する,실행하다,Ejecutar,Ejecutar,Ausführen
完成,Complete,完了する,완료하다,Completar,Completar,Vervollständigen
开始,Start,始める,시작하다,Comenzar,Empezar,Starten
结束,End,終わる,끝나다,Acabar,Terminar,Beenden
