en-US,en-US_tags,en-US_source_type,en-US_collection_id,es,es_tags,es_source_type,es_collection_id,fr,fr_tags,fr_source_type,fr_collection_id,ja,ja_tags,ja_source_type,ja_collection_id,nan-TW,nan-TW_tags,nan-TW_source_type,nan-TW_collection_id,yue-HK,yue-HK_tags,yue-HK_source_type,yue-HK_collection_id,zh-CN,zh-CN_tags,zh-CN_source_type,zh-CN_collection_id,zh-TW,zh-TW_tags,zh-TW_source_type,zh-TW_collection_id
My Collections,collections.myCollections,ai,1000000,Mis colecciones,collections.myCollections,ai,1000000,Mes collections,collections.myCollections,ai,1000000,マイコレクション,collections.myCollections,ai,1000000,我个收藏,collections.myCollections,ai,1000000,我嘅收藏,collections.myCollections,ai,1000000,我的收藏,collections.myCollections,ai,1000000,我的收藏,collections.myCollections,ai,1000000
Collection Name,collections.name,ai,1000000,Nombre de la colección,collections.name,ai,1000000,Nom de la collection,collections.name,ai,1000000,コレクション名,collections.name,ai,1000000,收藏名,collections.name,ai,1000000,收藏名稱,collections.name,ai,1000000,收藏集名称,collections.name,ai,1000000,收藏名稱,collections.name,ai,1000000
e.g. My Favorites,collections.namePlaceholder,ai,1000000,Ej: Mis favoritos,collections.namePlaceholder,ai,1000000,Ex : Mes favoris,collections.namePlaceholder,ai,1000000,例: お気に入り,collections.namePlaceholder,ai,1000000,比如：我个最愛,collections.namePlaceholder,ai,1000000,例如：我最喜愛,collections.namePlaceholder,ai,1000000,例如：我的最爱,collections.namePlaceholder,ai,1000000,例如：我的最愛,collections.namePlaceholder,ai,1000000
No collections found.,collections.noCollections,ai,1000000,No se encontraron colecciones.,collections.noCollections,ai,1000000,Aucune collection trouvée.,collections.noCollections,ai,1000000,コレクションが見つかりませんでした。,collections.noCollections,ai,1000000,無揣著集。,collections.noCollections,ai,1000000,搵唔到任何收藏。,collections.noCollections,ai,1000000,未找到收藏集。,collections.noCollections,ai,1000000,未找到收藏集。,collections.noCollections,ai,1000000
No description provided.,collections.noDescription,ai,1000000,No se proporcionó descripción.,collections.noDescription,ai,1000000,Aucune description fournie.,collections.noDescription,ai,1000000,説明が提供されていません。,collections.noDescription,ai,1000000,無提供說明。,collections.noDescription,ai,1000000,未提供說明。,collections.noDescription,ai,1000000,暂无描述。,collections.noDescription,ai,1000000,暫無描述。,collections.noDescription,ai,1000000
Collection not found,collections.notFound,ai,1000000,Colección no encontrada,collections.notFound,ai,1000000,Collection introuvable,collections.notFound,ai,1000000,コレクションが見つかりません,collections.notFound,ai,1000000,無揣著收藏,collections.notFound,ai,1000000,搵唔到收藏,collections.notFound,ai,1000000,未找到收藏集,collections.notFound,ai,1000000,未找到收藏集,collections.notFound,ai,1000000
Note (Optional),collections.note,ai,1000000,Nota (Opcional),collections.note,ai,1000000,Note (Facultatif),collections.note,ai,1000000,メモ (任意),collections.note,ai,1000000,備註（選填）,collections.note,ai,1000000,備註（選填）,collections.note,ai,1000000,备注（可选）,collections.note,ai,1000000,備註 (可選),collections.note,ai,1000000
e.g. Useful for greeting,collections.notePlaceholder,ai,1000000,Ej: Útil para saludar,collections.notePlaceholder,ai,1000000,Ex : Utile pour les salutations,collections.notePlaceholder,ai,1000000,例: 挨拶に便利,collections.notePlaceholder,ai,1000000,譬如講：適合用來拍招呼,collections.notePlaceholder,ai,1000000,例如：適合用嚟打招呼,collections.notePlaceholder,ai,1000000,例如：常用问候语,collections.notePlaceholder,ai,1000000,例如：用於問候,collections.notePlaceholder,ai,1000000
Private,collections.private,ai,1000000,Privado,collections.private,ai,1000000,Privé,collections.private,ai,1000000,非公開,collections.private,ai,1000000,私人,collections.private,ai,1000000,私人,collections.private,ai,1000000,私有,collections.private,ai,1000000,私人,collections.private,ai,1000000
Public,collections.public,ai,1000000,Público,collections.public,ai,1000000,Public,collections.public,ai,1000000,公開,collections.public,ai,1000000,公開,collections.public,ai,1000000,公開,collections.public,ai,1000000,公开,collections.public,ai,1000000,公開,collections.public,ai,1000000
Go to My Collections to create a new one? Current progress won't be saved.,collections.redirectConfirm,ai,1000000,¿Ir a Mis Colecciones para crear una nueva? El progreso actual no se guardará.,collections.redirectConfirm,ai,1000000,Aller à Mes Collections pour en créer une nouvelle ? La progression actuelle ne sera pas sauvegardée.,collections.redirectConfirm,ai,1000000,マイコレクションに移動して新しいものを作成しますか？現在の進行状況は保存されません。,collections.redirectConfirm,ai,1000000,欲去「我个收藏」建立新个？目前个進度袂保存。,collections.redirectConfirm,ai,1000000,要前往「我嘅收藏」建立新收藏嗎？而家嘅進度將唔會保存。,collections.redirectConfirm,ai,1000000,是否前往“我的收藏”创建新收藏集？当前进度将不会保存。,collections.redirectConfirm,ai,1000000,前往『我的收藏』建立新的？目前進度將不會保存。,collections.redirectConfirm,ai,1000000
Remove,collections.removeItem,ai,1000000,Eliminar,collections.removeItem,ai,1000000,Retirer,collections.removeItem,ai,1000000,削除,collections.removeItem,ai,1000000,移除,collections.removeItem,ai,1000000,移除,collections.removeItem,ai,1000000,移除,collections.removeItem,ai,1000000,移除,collections.removeItem,ai,1000000
Remove this item from the collection?,collections.removeItemConfirm,ai,1000000,¿Eliminar este elemento de la colección?,collections.removeItemConfirm,ai,1000000,Retirer cet élément de la collection ?,collections.removeItemConfirm,ai,1000000,このアイテムをコレクションから削除しますか？,collections.removeItemConfirm,ai,1000000,欲對收藏內底移除這个項目？,collections.removeItemConfirm,ai,1000000,要由收藏入面移除呢個項目？,collections.removeItemConfirm,ai,1000000,确定要从收藏集中移除此条目吗？,collections.removeItemConfirm,ai,1000000,您確定要從收藏中移除此項目嗎？,collections.removeItemConfirm,ai,1000000
Save Collection,collections.save,ai,1000000,Guardar colección,collections.save,ai,1000000,Enregistrer la collection,collections.save,ai,1000000,コレクションを保存,collections.save,ai,1000000,儲存收藏,collections.save,ai,1000000,儲存收藏,collections.save,ai,1000000,保存收藏集,collections.save,ai,1000000,儲存收藏,collections.save,ai,1000000
Shared Collections,collections.sharedCollections,ai,1000000,Colecciones compartidas,collections.sharedCollections,ai,1000000,Collections partagées,collections.sharedCollections,ai,1000000,共有コレクション,collections.sharedCollections,ai,1000000,共享收藏,collections.sharedCollections,ai,1000000,共享收藏,collections.sharedCollections,ai,1000000,共享收藏,collections.sharedCollections,ai,1000000,共享收藏,collections.sharedCollections,ai,1000000
Collections,collections.title,ai,1000000,Colecciones,collections.title,ai,1000000,Collections,collections.title,ai,1000000,コレクション,collections.title,ai,1000000,收藏集,collections.title,ai,1000000,收藏集,collections.title,ai,1000000,收藏集,collections.title,ai,1000000,收藏集,collections.title,ai,1000000
Failed to update some collections,collections.updateError,ai,1000000,Error al actualizar algunas colecciones,collections.updateError,ai,1000000,Échec de la mise à jour de certaines collections,collections.updateError,ai,1000000,一部のコレクションの更新に失敗しました,collections.updateError,ai,1000000,部分收藏更新失敗,collections.updateError,ai,1000000,部分收藏更新失敗,collections.updateError,ai,1000000,部分收藏集更新失败,collections.updateError,ai,1000000,部分收藏更新失敗,collections.updateError,ai,1000000
Collections updated successfully,collections.updatedSuccess,ai,1000000,Colecciones actualizadas correctamente,collections.updatedSuccess,ai,1000000,Collections mises à jour avec succès,collections.updatedSuccess,ai,1000000,コレクションが正常に更新されました,collections.updatedSuccess,ai,1000000,收藏更新成功,collections.updatedSuccess,ai,1000000,收藏更新成功,collections.updatedSuccess,ai,1000000,收藏集更新成功,collections.updatedSuccess,ai,1000000,收藏更新成功,collections.updatedSuccess,ai,1000000
Cancel,common.cancel,ai,1000000,Cancelar,common.cancel,ai,1000000,Annuler,common.cancel,ai,1000000,キャンセル,common.cancel,ai,1000000,取消,common.cancel,ai,1000000,取消,common.cancel,ai,1000000,取消,common.cancel,ai,1000000,取消,common.cancel,ai,1000000
Delete,common.delete,ai,1000000,Eliminar,common.delete,ai,1000000,Supprimer,common.delete,ai,1000000,削除,common.delete,ai,1000000,刪除,common.delete,ai,1000000,刪除,common.delete,ai,1000000,删除,common.delete,ai,1000000,刪除,common.delete,ai,1000000
Edit,common.edit,ai,1000000,Editar,common.edit,ai,1000000,Modifier,common.edit,ai,1000000,編集,common.edit,ai,1000000,編輯,common.edit,ai,1000000,編輯,common.edit,ai,1000000,编辑,common.edit,ai,1000000,編輯,common.edit,ai,1000000
An error occurred,common.error,ai,1000000,Ocurrió un error,common.error,ai,1000000,Une erreur s'est produite,common.error,ai,1000000,エラーが発生しました,common.error,ai,1000000,發生錯誤,common.error,ai,1000000,發生錯誤,common.error,ai,1000000,发生错误,common.error,ai,1000000,發生錯誤,common.error,ai,1000000
Loading...,common.loading,ai,1000000,Cargando...,common.loading,ai,1000000,Chargement...,common.loading,ai,1000000,読み込み中...,common.loading,ai,1000000,載入中…,common.loading,ai,1000000,載入中…,common.loading,ai,1000000,加载中...,common.loading,ai,1000000,載入中...,common.loading,ai,1000000
Next,common.next,ai,1000000,Siguiente,common.next,ai,1000000,Suivant,common.next,ai,1000000,次へ,common.next,ai,1000000,後一頁,common.next,ai,1000000,下一頁,common.next,ai,1000000,下一页,common.next,ai,1000000,下一頁,common.next,ai,1000000
Page,common.page,ai,1000000,Página,common.page,ai,1000000,Page,common.page,ai,1000000,ページ,common.page,ai,1000000,頁,common.page,ai,1000000,頁,common.page,ai,1000000,页,common.page,ai,1000000,頁,common.page,ai,1000000
Prev,common.prev,ai,1000000,Anterior,common.prev,ai,1000000,Précédent,common.prev,ai,1000000,前へ,common.prev,ai,1000000,前一頁,common.prev,ai,1000000,上一頁,common.prev,ai,1000000,上一页,common.prev,ai,1000000,上一頁,common.prev,ai,1000000
Save,common.save,ai,1000000,Guardar,common.save,ai,1000000,Enregistrer,common.save,ai,1000000,保存,common.save,ai,1000000,儲存,common.save,ai,1000000,儲存,common.save,ai,1000000,保存,common.save,ai,1000000,儲存,common.save,ai,1000000
Saving...,common.saving,ai,1000000,Guardando...,common.saving,ai,1000000,Enregistrement...,common.saving,ai,1000000,保存中...,common.saving,ai,1000000,儲存中…,common.saving,ai,1000000,儲存中…,common.saving,ai,1000000,保存中...,common.saving,ai,1000000,儲存中...,common.saving,ai,1000000
Success,common.success,ai,1000000,Éxito,common.success,ai,1000000,Succès,common.success,ai,1000000,成功,common.success,ai,1000000,成功,common.success,ai,1000000,成功,common.success,ai,1000000,成功,common.success,ai,1000000,成功,common.success,ai,1000000
Add Language,create.addLanguage,ai,1000000,Agregar idioma,create.addLanguage,ai,1000000,Ajouter une langue,create.addLanguage,ai,1000000,✨ 新しい言語を追加,create.addLanguage,ai,1000000,新增語言,create.addLanguage,ai,1000000,新增語言,create.addLanguage,ai,1000000,添加语言,create.addLanguage,ai,1000000,新增語言,create.addLanguage,ai,1000000
Failed to add language. Please try again.,create.addLanguageFailed,ai,1000000,"Error al agregar el idioma. Por favor, inténtelo de nuevo.",create.addLanguageFailed,ai,1000000,Échec de l'ajout de la langue. Veuillez réessayer.,create.addLanguageFailed,ai,1000000,言語の追加に失敗しました。もう一度お試しください。,create.addLanguageFailed,ai,1000000,新增語言失敗，請閣再試。,create.addLanguageFailed,ai,1000000,新增語言失敗，請重試。,create.addLanguageFailed,ai,1000000,添加语言失败。请重试。,create.addLanguageFailed,ai,1000000,新增語言失敗，請重試。,create.addLanguageFailed,ai,1000000
Adding...,create.addingLanguage,ai,1000000,Agregando...,create.addingLanguage,ai,1000000,Ajout en cours...,create.addingLanguage,ai,1000000,追加中...,create.addingLanguage,ai,1000000,新增中…,create.addingLanguage,ai,1000000,正在新增...,create.addingLanguage,ai,1000000,添加中...,create.addingLanguage,ai,1000000,正在新增...,create.addingLanguage,ai,1000000
Associate with Existing Meaning,create.associateWithExistingMeaning,ai,1000000,Asociar con significado existente,create.associateWithExistingMeaning,ai,1000000,Associer à une signification existante,create.associateWithExistingMeaning,ai,1000000,既存の意味に関連付ける,create.associateWithExistingMeaning,ai,1000000,關聯到既有語意,create.associateWithExistingMeaning,ai,1000000,關聯現有含義,create.associateWithExistingMeaning,ai,1000000,关联现有含义,create.associateWithExistingMeaning,ai,1000000,關聯現有含義,create.associateWithExistingMeaning,ai,1000000
Associate with Meaning,create.associateWithMeaning,ai,1000000,Asociar con significado,create.associateWithMeaning,ai,1000000,Associer à une signification,create.associateWithMeaning,ai,1000000,意味に関連付ける,create.associateWithMeaning,ai,1000000,關聯語意,create.associateWithMeaning,ai,1000000,關聯含義,create.associateWithMeaning,ai,1000000,关联含义,create.associateWithMeaning,ai,1000000,關聯含義,create.associateWithMeaning,ai,1000000
Associate with New Meaning,create.associateWithNewMeaning,ai,1000000,Asociar con nuevo significado,create.associateWithNewMeaning,ai,1000000,Associer à une nouvelle signification,create.associateWithNewMeaning,ai,1000000,新しい意味に関連付ける,create.associateWithNewMeaning,ai,1000000,建立新語意,create.associateWithNewMeaning,ai,1000000,關聯新含義,create.associateWithNewMeaning,ai,1000000,关联新含义,create.associateWithNewMeaning,ai,1000000,關聯新含義,create.associateWithNewMeaning,ai,1000000
Back,create.back,ai,1000000,Atrás,create.back,ai,1000000,Retour,create.back,ai,1000000,戻る,create.back,ai,1000000,倒轉去,create.back,ai,1000000,返回,create.back,ai,1000000,返回,create.back,ai,1000000,返回,create.back,ai,1000000
Cancel,create.cancel,ai,1000000,Cancelar,create.cancel,ai,1000000,Annuler,create.cancel,ai,1000000,キャンセル,create.cancel,ai,1000000,取消,create.cancel,ai,1000000,取消,create.cancel,ai,1000000,取消,create.cancel,ai,1000000,取消,create.cancel,ai,1000000
Click on the map to select a region,create.clickOnMapToSelect,ai,1000000,Haz clic en el mapa para seleccionar una región,create.clickOnMapToSelect,ai,1000000,Cliquez sur la carte pour sélectionner une région,create.clickOnMapToSelect,ai,1000000,地図をクリックして地域を選択,create.clickOnMapToSelect,ai,1000000,請佇地圖拍一下揀地區,create.clickOnMapToSelect,ai,1000000,點擊地圖選擇區域,create.clickOnMapToSelect,ai,1000000,点击地图选择区域,create.clickOnMapToSelect,ai,1000000,點擊地圖選擇區域,create.clickOnMapToSelect,ai,1000000
Detect my location,create.detectLocation,ai,1000000,Detectar mi ubicación,create.detectLocation,ai,1000000,Détecter ma position,create.detectLocation,ai,1000000,現在地を検出,create.detectLocation,ai,1000000,偵測所在位置,create.detectLocation,ai,1000000,偵測我嘅位置,create.detectLocation,ai,1000000,检测我的位置,create.detectLocation,ai,1000000,偵測我的位置,create.detectLocation,ai,1000000
Geolocation is not supported by your browser,create.geolocationNotSupported,ai,1000000,La geolocalización no es compatible con tu navegador,create.geolocationNotSupported,ai,1000000,La géolocalisation n'est pas prise en charge par votre navigateur,create.geolocationNotSupported,ai,1000000,お使いのブラウザはジオロケーションをサポートしていません,create.geolocationNotSupported,ai,1000000,恁个瀏覽器無支援定位功能,create.geolocationNotSupported,ai,1000000,你嘅瀏覽器唔支援地理位置,create.geolocationNotSupported,ai,1000000,您的浏览器不支持地理位置,create.geolocationNotSupported,ai,1000000,您的瀏覽器不支援地理位置,create.geolocationNotSupported,ai,1000000
Hide Map,create.hideMap,ai,1000000,Ocultar Mapa,create.hideMap,ai,1000000,Masquer la carte,create.hideMap,ai,1000000,地図を隠す,create.hideMap,ai,1000000,隱藏地圖,create.hideMap,ai,1000000,隱藏地圖,create.hideMap,ai,1000000,隐藏地图,create.hideMap,ai,1000000,隱藏地圖,create.hideMap,ai,1000000
Language,create.language,ai,1000000,Idioma,create.language,ai,1000000,Langue,create.language,ai,1000000,言語,create.language,ai,1000000,語言,create.language,ai,1000000,語言,create.language,ai,1000000,语言,create.language,ai,1000000,語言,create.language,ai,1000000
Language Code,create.languageCode,ai,1000000,Código de idioma,create.languageCode,ai,1000000,Code de langue,create.languageCode,ai,1000000,言語コード,create.languageCode,ai,1000000,語言代碼,create.languageCode,ai,1000000,語言代碼,create.languageCode,ai,1000000,语言代码,create.languageCode,ai,1000000,語言代碼,create.languageCode,ai,1000000
Custom code for your language (can be non-standard),create.languageCodeHelp,ai,1000000,Código personalizado para tu idioma (puede ser no estándar),create.languageCodeHelp,ai,1000000,Code personnalisé pour votre langue (peut être non standard),create.languageCodeHelp,ai,1000000,あなたの言語のカスタムコード（非標準でも可）,create.languageCodeHelp,ai,1000000,這个語言个自訂代碼（無一定標準嘛無要緊）,create.languageCodeHelp,ai,1000000,你語言嘅自訂代碼（可以係非標準嘅）,create.languageCodeHelp,ai,1000000,您语言的自定义代码（可以是非标准的）,create.languageCodeHelp,ai,1000000,您語言的自訂代碼（可以是非標準的）,create.languageCodeHelp,ai,1000000
"e.g. custom-lang, toki-pona",create.languageCodePlaceholder,ai,1000000,"ej. custom-lang, toki-pona",create.languageCodePlaceholder,ai,1000000,"ex. custom-lang, toki-pona",create.languageCodePlaceholder,ai,1000000,"例：custom-lang, toki-pona",create.languageCodePlaceholder,ai,1000000,比如：custom-lang、toki-pona,create.languageCodePlaceholder,ai,1000000,例如：custom-lang、toki-pona,create.languageCodePlaceholder,ai,1000000,例如：custom-lang、toki-pona,create.languageCodePlaceholder,ai,1000000,例如：custom-lang、toki-pona,create.languageCodePlaceholder,ai,1000000
Select the language for this expression,create.languageHelp,ai,1000000,Selecciona el idioma para esta expresión,create.languageHelp,ai,1000000,Sélectionnez la langue pour cette expression,create.languageHelp,ai,1000000,この表現の言語を選択,create.languageHelp,ai,1000000,這條語詞所屬个語言,create.languageHelp,ai,1000000,為呢句詞句選擇語言,create.languageHelp,ai,1000000,为此词句选择语言,create.languageHelp,ai,1000000,為此詞句選擇語言,create.languageHelp,ai,1000000
Language Name,create.languageName,ai,1000000,Nombre del idioma,create.languageName,ai,1000000,Nom de la langue,create.languageName,ai,1000000,言語名,create.languageName,ai,1000000,語言名,create.languageName,ai,1000000,語言名稱,create.languageName,ai,1000000,语言名称,create.languageName,ai,1000000,語言名稱,create.languageName,ai,1000000
e.g. Custom Language,create.languageNamePlaceholder,ai,1000000,ej. Idioma personalizado,create.languageNamePlaceholder,ai,1000000,ex. Langue personnalisée,create.languageNamePlaceholder,ai,1000000,例：カスタム言語,create.languageNamePlaceholder,ai,1000000,比如：自訂語言,create.languageNamePlaceholder,ai,1000000,例如：自訂語言,create.languageNamePlaceholder,ai,1000000,例如：自定义语言,create.languageNamePlaceholder,ai,1000000,例如：自訂語言,create.languageNamePlaceholder,ai,1000000
Select language,create.languagePlaceholder,ai,1000000,Seleccionar idioma,create.languagePlaceholder,ai,1000000,Sélectionner la langue,create.languagePlaceholder,ai,1000000,言語を選択,create.languagePlaceholder,ai,1000000,揀語言,create.languagePlaceholder,ai,1000000,選擇語言,create.languagePlaceholder,ai,1000000,选择语言,create.languagePlaceholder,ai,1000000,選擇語言,create.languagePlaceholder,ai,1000000
Latitude,create.latitude,ai,1000000,Latitud,create.latitude,ai,1000000,Latitude,create.latitude,ai,1000000,緯度,create.latitude,ai,1000000,緯度,create.latitude,ai,1000000,緯度,create.latitude,ai,1000000,纬度,create.latitude,ai,1000000,緯度,create.latitude,ai,1000000
e.g. 51.5074,create.latitudePlaceholder,ai,1000000,ej. 51.5074,create.latitudePlaceholder,ai,1000000,ex. 51.5074,create.latitudePlaceholder,ai,1000000,例：51.5074,create.latitudePlaceholder,ai,1000000,比如：51.5074,create.latitudePlaceholder,ai,1000000,例如：51.5074,create.latitudePlaceholder,ai,1000000,例如：51.5074,create.latitudePlaceholder,ai,1000000,例如：51.5074,create.latitudePlaceholder,ai,1000000
Loading languages...,create.loadingLanguages,ai,1000000,Cargando idiomas...,create.loadingLanguages,ai,1000000,Chargement des langues...,create.loadingLanguages,ai,1000000,言語を読み込み中...,create.loadingLanguages,ai,1000000,語言載入中…,create.loadingLanguages,ai,1000000,正在載入語言...,create.loadingLanguages,ai,1000000,加载语言中...,create.loadingLanguages,ai,1000000,正在載入語言...,create.loadingLanguages,ai,1000000
Failed to detect your location,create.locationDetectionFailed,ai,1000000,No se pudo detectar tu ubicación,create.locationDetectionFailed,ai,1000000,Échec de la détection de votre position,create.locationDetectionFailed,ai,1000000,位置情報の検出に失敗しました,create.locationDetectionFailed,ai,1000000,毋捌偵測著恁个所在,create.locationDetectionFailed,ai,1000000,無法偵測你嘅位置,create.locationDetectionFailed,ai,1000000,无法检测您的位置,create.locationDetectionFailed,ai,1000000,無法偵測您的位置,create.locationDetectionFailed,ai,1000000
Failed to parse location information,create.locationParsingFailed,ai,1000000,Error al analizar la información de ubicación,create.locationParsingFailed,ai,1000000,Échec de l'analyse des informations de localisation,create.locationParsingFailed,ai,1000000,位置情報の解析に失敗しました,create.locationParsingFailed,ai,1000000,無法解析所在資訊,create.locationParsingFailed,ai,1000000,無法解析位置資訊,create.locationParsingFailed,ai,1000000,无法解析位置信息,create.locationParsingFailed,ai,1000000,無法解析位置資訊,create.locationParsingFailed,ai,1000000
Longitude,create.longitude,ai,1000000,Longitud,create.longitude,ai,1000000,Longitude,create.longitude,ai,1000000,経度,create.longitude,ai,1000000,經度,create.longitude,ai,1000000,經度,create.longitude,ai,1000000,经度,create.longitude,ai,1000000,經度,create.longitude,ai,1000000
e.g. -0.1278,create.longitudePlaceholder,ai,1000000,ej. -0.1278,create.longitudePlaceholder,ai,1000000,ex. -0.1278,create.longitudePlaceholder,ai,1000000,例：-0.1278,create.longitudePlaceholder,ai,1000000,比如：-0.1278,create.longitudePlaceholder,ai,1000000,例如：-0.1278,create.longitudePlaceholder,ai,1000000,例如：-0.1278,create.longitudePlaceholder,ai,1000000,例如：-0.1278,create.longitudePlaceholder,ai,1000000
